vud,vu<v><m>><pst>,vud<v><pst>,FAIL
sabaden,sabad<n>><pl>,sabad<n>><3pl>/sabad<n>><pl>,CORRECT
ara,ara<num>,ara<num>,CORRECT
důnā,důnā<n>,důnā<n>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
rāguzar,rāguzar<n>,rāguzar<n>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
xez,xez<post><apud>,xez<adj>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
boɣ,boɣ<n>,boɣ<n>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
boɣ,boɣ<n>,boɣ<n>,CORRECT
vuδǰ,vuδ<v>><pf><m>,vuðǰ<v><prf>/vuðǰ<v><prf>/vuδǰ<v><prf>/vuδǰ<v><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,FAIL
lůvd,lův<v>><prs><3sg>,lůvd<v><inf>/lůvd<v><pst>,FAIL
idi,idi<cnj><compl>,idi<conj><compl>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
mu,mu<pers><prn><1sg><obl>,mu<pers><1sg><obl>,FAIL
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
sabad,sabad<n>,sabad<n>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
tar,tar<prep><eq>,tar<prep>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
aθêrt,aθêr<v>><prs><3sg>,aθêr<v><prs>><2sg>/aϑêr<v><prs>><2sg>/aθêr<v><prs>><3sg>/aϑêr<v><prs>><3sg>/aθêrt<v><inf>/aϑêrt<v><inf>/aθêrt<v><pst>/aϑêrt<v><pst>,FAIL
disga,dis<pro>><add1>,dis<pro>><add>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
kix̌tat,kix̌<v>><prs><3sg>><coord2>,kix̌t<v><inf>><2sg>/kix̌t<v><inf>><coord2>/kix̌t<v><pst>><2sg>/kix̌t<v><pst>><coord2>,FAIL
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
yi,yi<num>,yi<adj>/yi<pro>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
pur,pur<n>,pur<adj>,FAIL
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,FAIL
noken,nok<n>><pl>,nok<n>><3pl>/nok<n>><pl>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
wirdatā,wi<dem><d3><m><sg><obl>><dat>><advs>,wi<dem><d3><m><sg>><dat>><advs>/wird<pro>><advs>,FAIL
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
duyum,du<num>><ord>,du<num>><ord>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
seyum,se<num>><ord>,se<num>><ord>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wird,wi<dem><d3><m><sg><obl>><dat>,wi<dem><d3><m><sg>><dat>/wird<pro>,FAIL
xubaθ,xubaθ<pro><self>,xub<n>><int>/xubaθ<n>/xubaϑ<n>/xubaθ<pro><self>/xubaϑ<pro><self>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
pis,pis<prep><goal>,pis<prep>/pis<v><prs>,FAIL
půndaθ,půnd<n>><adv>,půnd<n>><int>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
mis,mis<prt><add2>,mis<n>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
dāmti,dam<dem><d2><f><sg><obl>><sup>,dām<n>><2sg>><3sg>/dām<n>><sup>/dām<v><prs>><2sg>><3sg>/dāmt<v><inf>><3sg>/dāmt<v><pst>><3sg>,FAIL
nay,nay<prt>,nay<n>,FAIL
bašānd,bašānd<n>,bašānd<adj>,FAIL
mālum,mālum<n>,māl<n>><1sg>/mālum<adj>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
uzum,uz<pers><prn><1sg>><1sg>,uz<n>><1sg>/uz<pers><1sg><nom>><1sg>,FAIL
bašānd,bašānd<n>,bašānd<adj>,FAIL
čīz,čīz<n>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
ara,ara<num>,ara<num>,CORRECT
δiyen,δi<v>><-prs><3pl>,ði<v><prs>><3pl>/δi<v><prs>><3pl>/ðiy<v><prs>><3pl>/δiy<v><prs>><3pl>,FAIL
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
windi,wi<dem><d3><m><sg><obl>><loc>,wi<dem><d3><m><sg>><loc>><3sg>/wind<pro>><3sg>,FAIL
pis,pis<prep><goal>,pis<prep>/pis<v><prs>,FAIL
půndaθ,půnd<n>><adv>,půnd<n>><int>,FAIL
čīz,čīz<n>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
xabar,xabar<n>,xabar<adj>/xabar<n>,CORRECT
idi,idi<cnj><compl>,idi<conj><compl>,FAIL
čīz,čīz<n>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
wāδga,wāδ<dem><d3><pl>><add1>,wāð<dem><d3><pl><nom>><add>/wāδ<dem><d3><pl><nom>><add>,FAIL
mis,mis<prt><add2>,mis<n>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
dāmti,dām<dem><d2><f><sg><obl>><sup>,dām<n>><2sg>><3sg>/dām<n>><sup>/dām<v><prs>><2sg>><3sg>/dāmt<v><inf>><3sg>/dāmt<v><pst>><3sg>,FAIL
as,as<prep><el>,as<prep>,FAIL
wef,wef<dem><d3><pl><obl>,wef<n>/wef<pro>,FAIL
yi,yi<num>,yi<adj>/yi<pro>,FAIL
nist,nist<v><neg>,nist<v><prs>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
wef,wef<dem><d3><pl><obl>,wef<n>/wef<pro>,FAIL
dāmti,dām<dem><d2><f><sg><obl>><sup>,dām<n>><2sg>><3sg>/dām<n>><sup>/dām<v><prs>><2sg>><3sg>/dāmt<v><inf>><3sg>/dāmt<v><pst>><3sg>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
ǰoy,ǰoy<n>,ǰoy<n>/ǰoy<n>,CORRECT
idi,idi<cnj><compl>,idi<conj><compl>,FAIL
wint,win<v>><prs><3sg>,win<v><prs>><2sg>/win<v><prs>><3sg>,FAIL
idi,idi<cnj><compl>,idi<conj><compl>,FAIL
čīz,čīz<n>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
wāδ,wāδ<dem><d3><pl>,wāð<dem><d3><pl><nom>/wāδ<dem><d3><pl><nom>,FAIL
xurd,xurd<prt>,xu<pro><refl>><dat>/xurd<pro>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
koren,kor<n>><pl>,kor<n>><3pl>/kor<n>><pl>,CORRECT
qatiyat,qati<post><com>><coord2>,qat<v><pst><f>><3sg>><2sg>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
bozi,bozi<n>,boz<n>><3sg>/boz<v><prs>><2sg>/boz<v><prs>><3sg>/bozi<n>,CORRECT
yā,yā<dem><ds><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
ačaθ,ačaθ<prt>,ač<pro>><int>/ačaθ<pro>/ačaϑ<pro>,FAIL
mālum,mālum<n>,māl<n>><1sg>/mālum<adj>,FAIL
yā,yā<dem><ds><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
sat,sa<v>><pst>,sa<v><imp>><2sg>/sat<v><pst><f>,FAIL
sawol,sawol<n>,sawol<n>,CORRECT
tund,tu<pers><prn><2sg>><loc>,tu<pers><2sg>><loc>/tund<adj>/tund<n>/tund<pro>,FAIL
