cyrillic,meaning
арамāҷанд,"субстантивированное местоименное наречие дальней степени со значением принадлежности: у тех, которые там (внизу)"
арамāҷард,"субстантивированное местоименное наречие дальней степени со значением адресата действия: тем, которые там (внизу)"
арамец,"местоименное наречие дальн. ст.: дотуда, вплоть до того места (внизу)"
а́ргиз,"никогда, ни в коем случае, ни за что"
аре,там (внизу)
ареданд,"субстантивированное местоименное наречие средней степени со значением принадлежности: у тех, что там (внизу, внутри)"
аредāҷ,"местоименное наречие средн. ст.: туда, в ту сторону (вниз)"
аредāҷанд,"субстантивированное местоименное наречие средней степени со значением принадлежности: у тех, которые там (внизу)"
аредāҷард,"субстантивированное местоименное наречие средней степени со значением адресата действия: тем, которые там (внизу)"
аре́дец,"местоименное наречие средней степени: дотуда, вплоть до того места (внизу)"
ар-кā,"куда?, в каком направлении?, где? (по направлению вниз, внизу)"
а́ру̊,"здесь, тут (внизу)"
ару̊данд,"субстантивированное местоименное наречие ближней степени со значением принадлежности: у этих, что тут, здесь (внизу, внутри)"
ару̊дāҷ,"здесь, тут, с этой стороны (внизу)"
ару̊дāҷанд,"субстантивированное местоименное наречие ближней степени со значением принадлежности: у тех, которые здесь, тут (внизу)"
ару̊дāҷард,"субстантивированное местоименное наречие ближней степени со значением адресата: этим, которые здесь, тут (внизу)"
ару̊дец,"местоименное наречие ближн. ст.: досюда, вплоть до этого места (внизу)"
ар-цу̊н-ца,"очень, чрезвычайно; слишком"
а́р-ҷо,"везде, повсюду, повсеместно; где бы ни; куда бы ни; куда-нибудь"
ас-йāндаθ,"по очереди, поочередно; подряд; по порядку"
ас-кā,"как?, каким образом?, на каком основании?"
асли-дайн-аθ,"действительно, на (в) самом деле"
асло,"совсем (не), никогда"
асосанд,"на самом деле, в действительности"
ас-рост-аθ,"вправду, верно, действительно"
ас-қāст-аθ,"нарочно, умышленно"
атманд,"безусловно, конечно; обязательно"
атмê-θ,"обязательно, непременно, безусловно"
афаw,послезавтра
ах̌ӣб,вчера
ач-га,"(с последующим отрицанием) больше (не), совсем (не), вовсе (не)"
ач-мāл,"[ср. тадж. ҳеч маҳал) с последующим отрицанием) никогда (не); вовсе, совсем (не)"
ақêқатан,"действительно, на самом деле, поистине"
āбаробар,"сразу (же), тут же; быстро"
ба-аwҷ,"с увлечением, с жаром; с энтузиазмом"
ба-алоли,"добросовестно, честно; как следует"
ба-wах(т)ди,"заблаговременно; вовремя, своевременно"
ба-гуму̊н,предположительно
ба-дастā,"не давая шевельнуться, крепко одерживая"
ба-динйойи,"очень сильно, вовсю; чрезвычайно"
ба-дӣди,"по сравнению, сравнительно с..."
ба-дӣдани,с трудом; едва-едва
базӯди,"быстро, быстрее, поскорее; раньше"
базӯр-аθ,насильно
базӯри,"с трудом, насилу; насильно"
базӯри-аθ,"с трудом, насилу; насильно"
байелā,(с отриц. формой глагола) чуть не
ба-лог-аθ,"шутя, в шутку"
ба-марwат,осторожно; тщательно
ба-нокāф,"вдруг, внезапно, неожиданно"
баор-субā,"ранней весной, с наступлением весны"
баорчев,"каждую весну, каждый раз весной, веснами"
баракс,"наоборот, напротив"
бар-боδ,"на ветер, по ветру; перен. впустую"
барwахт-аθ,рано; своевременно
бар-ди-рӯғ-аθ,"зря, понапрасну"
бармук,изнеможенно; без сил; устало
бараст,"быстро, без запинки, бегло"
бар-таму̊м,целиком; все
бар-фалак,"на небо, на воздух; в воздухе"
бар-ҷо,"на месте, на своем месте, на одном месте"
бар-ҷойаки,"безвыходно, безвыездно, на одном месте"
ба-сӯз,"пылко, с жаром, с чувством, с увлечением, с удовольствием; всласть"
ба-тāмул,"сдержанно, осторожно; обдуманно"
батāр,хуже
ба-тифоқ,"дружно, согласно, единодушно"
бат-чи-бат,в объятиях; друг другу в объятия
ба-фāнд-аθ,"хитро; нарочно; с умыслом, умышленно"
ба-фиреб-аθ,хитро; обманным путем
ба-фурҷа,"осмотрительно, осторожно, с оглядкой"
ба-хуши,"с радостью, радостно, в радостном состоянии"
ба-қāроw,"сердито, с недовольным видом"
бāд,"затем, потом, после; тогда, тут же"
бāзан,"иногда, подчас, изредка"
бāр,"много, полно; множество"
бāс,"довольно, достаточно, хватит"
беайб-аθ,"незаслуженно, без оснований"
беасос-аθ,"необоснованно; зря, понапрасну"
беастāр,"без подкладки, не на подкладке"
беāд,"без договора, без договоренности; без соглашения"
беwоситā-θ,"непосредственно, прямо"
беwудā-θ,"бесполезно, понапрасну, зря, без толку"
бегуфтигӯй,"безоговорочно; без лишних слов, без разговоров"
бедалӣл,"слишком много, чрезмерно"
бедарак-аθ,"без толку, попусту, зря"
бе-дӣданêθ,"беспрепятственно; без труда, легко"
бедод,"чрезмерно, очень; полно"
беихтийор,"невольно, непроизвольно"
бекорā-θ,"бесполезно, напрасно, зря"
бемалол,"непринужденно, свободно, смело"
бемаму̊нийат-аθ,беспрепятственно; без помех
бемашақат,"без трудностей; без мучений, без страданий"
бемашақат-аθ,"беспрепятственно, без труда, легко"
бемақсад-аθ,"бесцельно, напрасно, зря"
бемузд-аθ,"бесплатно, даром"
беназорат,без присмотра; бесконтрольно
бе-нашā,"очень много, уйма, полно"
бениойат,"бесконечно, беспредельно"
бених̌у̊н,"без счета, без числа, много, уйма"
бепӯл-аθ,"бесплатно, совсем даром"
берӯн,"вне, снаружи"
бесабаб-аθ,"без причины, без всяких оснований; ни с того ни с сего"
беташwӣш-аθ,"спокойно, беспечно"
бетаwфêқги,"внезапно, вдруг"
бехабар-аθ,"неожиданно, без уведомления, без ведома"
бехарч-аθ,"без продуктов, не имея пищевых припасов"
бе-худ,"без памяти, без сознания; в тяжелом состоянии"
бех̌дарди,"больше, более"
бешак,"несомненно, без сомнения, безусловно"
бешарāт,"очень много, чрезмерно"
беғам-аθ,"беззаботно, беспечально; спокойно"
беғаразу̊нā,бескорыстно; объективно
бе-ғулғāш-аθ,"беззаботно, беспечально, спокойно"
бêхи,"никогда; совсем, отнюдь"
би́гāму̊н-анд,в мгновение ока
бийор,вчера
бийор-амеθ,"весь вчерашний день, целый день вчера"
бийор-ах̌āб,"всю прошлую ночь, целую ночь вчера"
билақаст,с бульканьем
биттā,"немножко, совсем мало, чуточку"
боам,"совместно, вместе"
бозгах̌т,"опять, снова"
боро,"много раз, неоднократно, не раз, не однажды"
бо-ҳам,"вместе, совместно"
бизғумчи,торопливо
бу́лфӣс,"неожиданно, нечаянно"
бун-ӡилуқ,"на корточках, на корточки"
ба́т-ба́т,"с бульканьем, булькая; с журчанием, журча"
бӯла́к-бӯла́к,"по частям, частями, по кускам, кусками"
веганӣ́нҷ-аθ,"вечером, вечерком, под вечер"
вегаҷев,"по вечерам, вечерами, каждый вечер"
вироwор,по-братски
во,"все же, все-таки, все равно"
wахтӣнҷā,"временно, пока; ненадолго"
wидир,"на третий день вперед, после послезавтра, через два дня (на третий)"
wирӯвҷоwаки,в стоячем положении; стоя
wирӯйаги,"с той стороны, по ту сторону (реки); с того берега"
wирӯй,"на той стороне, по ту сторону, на ту сторону (реки); на том берегу, на тот берег"
wи-ти,"над тем, сверху того (тех)"
wуз-wузик,"медленно, не спеша, не торопясь, потихоньку"
wуц-wуцик,"медленно, не торопясь, потихоньку"
wуч,"очень, сильно, весьма"
wӯрҷwор,"ловко; энергично, в темпе"
wӯрҷ-рāнг,"как волк, наподобие волка"
гарδӯнак,"вокруг, кругом"
гармовā́-аθ,быстро; мгновенно
гат-чи-гат,"с трудом, еле-еле; медленно"
гā,"иногда, временами, порой"
гā-гӣр,"иногда, временами, изредка"
гā́-гā́,"иногда, временами, время от времени"
гā-йигу̊н,"иногда, время от времени"
гā́-ҷо,"кое-где, местами"
галнêɣ̌ак-ɣ̌алнêɣ̌ак,"колеблясь, покачиваясь"
ги́рд-аθ,"вокруг, кругом; вкруговую, по кругу; вкруг"
гирдо-гирд,"предл. и нареч.: вокруг, кругом, со всех сторон"
го́йи,"иногда, временами, время от времени"
гураст,"быстро, стремительно, шумно, с грохотом"
гургумбā,"друг за другом, гурьбой"
гу́р-гу́р,"друг за другом, гурьбой; толпой"
гу̊́л-аθ,"тихо-претихо, безмолвно"
дако,"пока, временно"
дако-дако,"постепенно, понемногу, мало-помалу; все больше"
дам-бар-дам,"непрестанно, непрерывно; беспрерывно, часто"
да́ппаθ,"внезапно, вдруг"
дар-аwо,"в воздух, на воздух, вверх"
дар-аwо-θ,"на лету, на ходу; с ходу, сразу"
дар-бало,в беде
дар-ба-хайол,"на уме, в мыслях, в воображении"
дар-гард,"всегда, постоянно; часто"
дар-дам,"почти, почти что; на исходе; накануне"
дармомо,"напрасно, зря, без толку"
дароз-дастā,"с длинной ручкой, рукояткой"
да́раwаθ,"тотчас, немедленно, сразу, сейчас же"
дар-сāм,в страхе; в тревоге
дар-сироқ,в поисках
дастак,саженками (о плавании)
дастхоли,с пустыми руками; ни с чем
дағалу̊нā,"грубо, дерзко, неучтиво"
дāфатан,"немедленно, сразу, тотчас же"
деwу̊наwор,подобно сумасшедшему; как сумасшедший
дер,долго
дераки,"долгое время, долго; продолжительное время"
дер-рāнг,"поздновато, поздненько"
диборā,"вовсю, совсем; очень"
диборā́-га,"вовсю, совсем, очень сильно"
дил-фирҷā,"спокойно, в спокойном состоянии"
дирӯй,"по (э)ту сторону, на той стороне (реки), на том берегу"
диру̊́ғ-аθ,"напрасно, зря"
дис-аθ,"в самом деле, как следует"
ди́с-га,"так же, именно так(ой), точно так(ой)"
диса́к-аθ,"просто так; понапрасну, зря"
ди́-ти,"над этим (тем), сверху (э)того; на (этого)"
дойи́м-аθ,"всегда, постоянно"
дугур-аθ,"согнувшись, в согнутом состоянии"
дугу́р-дугу́р,согнувшись в три погибели
дури,"будто бы, точно, можно сказать"
дӯнд,"немножко, незначительно"
дӯ́с-аθ,"самую малость, совсем мало, чуть-чуть"
дӯсгунā,"немного, немножко"
дӯс-дӯс,"понемногу, мало-помалу, чуть-чуть"
дӯси́к-га,"еще, немножко, немного"
ду̊на-бар,"совсем, поголовно, все (с отрицанием)"
ду̊нд-аθ,даже
ду̊ндазā,"кое-как, слегка; как-нибудь"
ду̊́нд-ард,к тому времени
ду̊н-ду̊ндик,понемногу
ду̊нди́к-га,"еще чуть-чуть, едва"
δардарди,"дальше, подальше"
δа́р-аθ,"далеко, вдали; издали"
δу-δустāк,"обеими руками, двумя руками"
δум-пи-δум,следом друг за другом
δуст-ми-δуст,рука об руку
θанаθāн,"еле-еле, с трудом; тяжело дыша, пыхтя, с сопением"
θӣ́-пи-тор,"вверх тормашками, кувырком; через голову"
θапаст,"быстро, стремительно, порывисто; сразу, мгновенно, вдруг"
бếх-ец,досконально (букв. до корня)
еҷак,"на ногах, опираясь на ноги (о ребенке)"
жếх̌т-а-жếх̌т,бегом
жибирақаст,"очень сильно, изо всех сил, во всю мощь; во всю прыть; во весь опор"
жида́қат,"с треском, с шумом; вздрагивая, дрожа"
жӣр-гāл,"на камень, на камне; поверх камня"
заму̊н-кāф,"моментально, вдруг, неожиданно"
заму̊́н-га,"вдруг; может быть, возможно"
зийод,"чрезмерно, много, больше"
зимисту̊н-ҷев,"зимами, зимой"
зиндаwор,"живо, быстро"
зинор,"никогда, вовсе (при отрицании)"
зойиро,"вероятно, возможно, по-видимому"
золиму̊нā,"жестоко, деспотично"
зор,"очень, сильно; совершенно, совсем; окончательно (в изафетных сочетаниях)"
зорδну̊нҷ,"по сердцу, по душе, по нраву; по желанию"
зу̊н-гарδӯн,"до колена, по колено"
иболаҷини́к-аθ,"жалостно, с жалостным видом; угрюмо"
инсу̊нwор,"по-человечески, как подобает человеку; человечно"
иншаолло,"бог даст; наверное, вероятно"
ач-мāл,"никогда, вовсе не (при отрицании)"
ич-пух̌т,"никогда, вовсе не (при отрицании)"
йакандар,"всегда, постоянно"
йакандоз,постепенно; по очереди
йака-то́з,"продолжительно, долго; всегда; постоянно"
йа́к-бор-аθ,"одновременно, вместе; сразу; разом; враз"
йакборā́,"один раз; вмиг, в (один) момент; сразу; одновременно"
йа́к-бор-га,"еще (один) раз; другой раз; в (на) другой раз, в следующий раз"
йак-бори,по (одному) разу
йак-дилу̊нā,"единодушно, дружно"
йа́ки,"вдруг, неожиданно, внезапно"
йа́к-йа́к,"постепенно; с течением времени, со временем"
йак-лухт,"целиком, сплошь"
йако-дукā,"иногда, изредка"
йак-рез,"в один прием, за один раз, сразу"
йак-рухā,"без передышки, без остановки, постоянно, беспрестанно"
йак-сар,"одновременно, вместе; в один прием"
йак-сикир,"всегда, постоянно"
йак-цемāк,"краем глаза, искоса"
йак–чанд,несколько
йак-чӣз,"немножко, незначительно, чуть-чуть"
йак-ҷо,"вместе, совместно; объединенно"
йак-ҷо́θ,"вместе, совместно; объединенно; целиком, все сразу"
йак-ҷоги,"вместе, совместно; в одно место"
ик-а́манд,местоименное наречие дальн. ст.: там
ик-а́мард,местоименное наречие дальн. ст.: там (в неопределенном месте)
ик-а́мва,"местоименное наречие дальн. ст.: вдоль того, мимо того места; туда"
ик-а́мец,местоименное наречие дальн. ст. до того (места); дотуда
ик-а́мтӣр,"местоименное наречие дальн. ст.: туда (наверх); на то(м); там (наверху); над тем, сверху того"
йах̌а-йах̌ā,"с трудом, насилу, еле-еле, тяжело ступая; с неохотой"
йақӣн,"достоверно, точно"
йақӣнанд,непременно; непреложно; достоверно
йе́ва,"местоименное наречие средн. ст.: вдоль (э)того, мимо (э)того"
йед,сокр. от йеданд
ик-е́данд,"местоименное наречие средн. ст: в (э)то время, тут; как (только), тогда"
ик-е́дард,"местоименное наречие средн. ст.: здесь, там (в неопределенном месте)"
ик-е́дец,"местоименное наречие средн. ст.: до (э)того места, досюда; дотуда"
йели,"с добрыми намерениями, с миром; по-дружески"
йе́т-аθ,"открыто, раскрыто, настежь"
йе́ти,"местоименное наречие средн. ст.: туда (наверх); на (э)то(м); там (наверху); над этим (тем), сверху (э)того"
и́-га,"еще (и), еще один, другой (субстантивно и адъективно)"
игу̊ни,"иногда, изредка"
йигу̊́н-йигу̊́н,"иногда, время от времени, временами; по временам"
йи́-ноw,"много, полно, куча"
йи́рā,"как раз, в самый момент, вовремя"
йи́-ру̊ф,"немножко, незначительное время; иногда"
йи-чанд,несколько
йи́-ҷо,"куда-нибудь, куда-л.; где-нибудь"
йӣwи,по-одному; порознь
йӣwйу̊н,"изредка, редко-редко"
йиwу̊-йиwа,"указательно-местоименное наречие дальн. ст.: вон там, вон-вон"
йӯн-тар-йӯн,"подробно, все подряд, все по порядку, с начала до конца"
йу̊́ва,"местоименное наречие ближн. ст.: вдоль, мимо этого (места); сюда; здесь"
йу̊́д,"местоименное наречие ближн. ст.: в это время; тут же, как (только)"
йу̊́дард,"местоименное наречие ближн. ст.: здесь, тут (в определенном месте)"
йу̊́д-ат-йа́м,"там и сям, тут и там; кое-где; местами"
йу̊д-ат-йамард,"удвоенная форма местоименных наречий: там и сям, повсюду"
йу̊́дец,местоименное наречие ближн. ст.: до этого (места); досюда
йу̊́д-йама́к,"там и сям, кое-где, где-то тут и там"
йу̊́ти,"местоименное наречие ближн. ст.: сюда (наверх); на это(м); здесь (наверху); над этим, сверху этого"
калапой,"вниз, сверху вниз"
калапойāҷ,"низ, нижняя сторона"
калтаθ,"коротко, ясно; коротко и ясно; откровенно"
калтакдор,с палкой (в руках)
камунӣсту̊нā,"по-коммунистически, как подобает коммунисту"
канкирет,конкретно
карх̌а́ст-аθ,"быстро, мгновенно, сразу"
карх̌-карх̌,"быстро-быстро, мгновенно, сразу"
ката-рамеθ,"целый день, весь день"
ката-рах̌āб,"целую ночь (напролет), всю ночь"
ка́чāд,"вопр. нареч. где (он, тот)?, где (она, та)?"
кā́ва,"наречно-вопросительное слово к местоименным наречиям йу̊́ва, йу̊́вад; йе́ва, йе́вад; йа́мва, йа́мвад: куда?; мимо чего?; вдоль чего?; в каком направлении?, каким путем?"
кā́данд,"(в шгн. редко) наречно-вопросительное слово к местоименным наречиям йу̊́данд, йе́данд, йа́манд: где?, где именно? (определенное место)"
кā́дирд,"наречно-вопросительное слово к местоименным наречиям йу̊́дард, йе́дард, йа́мард: где? (неопределенное место)"
кā́дец,"наречно-вопросительное слово к местоименным наречиям йу̊́дец, йе́дец, йа́мец: докуда?, до какого места?"
кā́йи,вопр. нареч.: где?
кāл-тар-кāл,голова к голове; верхушка к верхушке
кā́м-кā́м,мало-помалу
килойи,по килограмму
килу̊́л-аθ,целиком; всей гурьбой
кирйойи,"согласно очередности, по очереди"
кифойā,"достаточно, довольно"
киҷо,где (в сложениях)
киҷо́йи,никак не; совсем не
кукā,"крепко, туго; тесно, вплотную, близко"
ку́рат,"со скрежетом, с грохотом; с силой"
курх̌а-курх̌,"с шумом; шурша, шелестя"
ку́рх̌ат,"сразу; быстро, мгновенно, стремительно"
кут-пи-кут,"отрывками, кусками, частями; по частям, по кускам"
кӯда́к-аθ,в раннем детстве; в младенческом возрасте
лабамол,"очень много, уйма, предостаточно"
ла́ган-дар-ла́г,"очень много, более чем достаточно"
ла́г-ла́г,"без дела, без надобности, от нечего делать"
лаксак,"на босу ногу, без чулок, без носков"
лапи,"множество, большое количество; обилие"
ло́наθ,"богато, обильно; щедро"
лук-лумб,"плавно; спокойно, тихо"
лу̊г-лу̊г,"зря, без дела"
маданиwор,культурно; вежливо
мадwӯх̌,"в бессознательном состоянии, без сознания, в обмороке, не в себе"
маδорҷев,каждый раз в полдень
махсӯсанд,"особенно, особо, специально"
меθинҷев,"днем, каждый раз днем, днями"
ме́θо,"однажды, в один прекрасный день, как-то раз"
меθо́-га,"однажды, в один прекрасный день"
мидо́й-на,"едва не, чуть не"
ми-δуст,"в руках, в руки; в чьем-либо распоряжении"
миждор,еще раз
милойи́м-аθ,"тихо, спокойно, потихоньку"
мило́м-аθ,"тихо, спокойно, потихоньку"
милом-милом,"тихо-тихо, спокойно"
мирӯйаги,"с этой стороны (реки), по эту сторону (реки)"
мирӯй,местоименное наречие ближн. ст.: по эту сторону (реки)
ми́-ти,"в этом направлении, сюда; здесь"
ми-тийāҷ,"куда-то, в этом направлении"
ми-чāнг,"в когтях, в лапах"
миғӯнд,"(употребляется постпозитивно): вроде, наподобие; подобный, такой как, такого рода"
ми-ғаw,"в охапке, в обхвате"
ми-қāп,"в руках, на руки, на руках"
мо-ба-мо,"из месяца в месяц, каждый месяц, ежемесячно"
моро́-моро́,"потихоньку, еле-еле, медленно шагая"
мотиндāҷ,"утомленно, устало, с усталым видом"
мубойеҷ,"на несчастье, на беду"
миду̊м,"всегда, постоянно"
му́фт-аθ,"даром, бесплатно"
мӯзадор,в сапогах
муйи́к-га,"чуточку, чуть-чуть, немножко, едва"
му̊р-му̊рик,"медленно-медленно, тихо двигаясь, ковыляя"
наwозги,"по направлению, вдоль чего-л."
насийā,"заимообразно, в долг, в кредит"
нағӡи,"(в изафетной конструкции) хватит, довольно, достаточно"
нā́рмаθ,"тайком, потихоньку, незаметно, тайно, по секрету"
нигāму̊н-анд,"внезапно, неожиданно, вдруг"
нӣз,близко
нӣзвагар,"близко, около, возле"
ногау̊н,"вдруг, внезапно, неожиданно"
нозук-табāт,"со вкусом, с тонким вкусом"
ноҷой,"не на месте; неуместно, неудачно"
нур,"сегодня, нынче"
нурӣнҷā,"в течение сегодняшнего дня, на сегодня, сегодня"
нур-амеθ,"весь сегодняшний день, целый день сегодня"
нур-ах̌āб,"всю сегодняшнюю ночь, нынешнюю ночь напролет"
о́зир,сейчас; теперь; только что
озоду̊нā,"свободно, вольно"
о́йо,"вряд ли, едва ли"
оле-оле,"катясь, кубарем, кувырком"
остā́-йаθ,"потихоньку, медленно, осторожно; слегка"
ойистā-ойистā,"тихо-тихо, потихонечку; осторожненько; медленно-медленно"
офийатê-θ,"благополучно, невредимо"
оқибат,"впоследствии, потом"
падам,там (наверху)
па́даманд,"субстантивированное местоименное наречие дальн. ст. со значением адресата действия: тем, тому, у тех, что там наверху"
падамāҷ,"местоименное наречие дальн. ст.: там вверху; туда вверх, в ту сторону вверх"
падамāҷанд,"субстантивированное местоименное наречие дальн. ст. со значением принадлежности: у того (у тех), что там (наверху)"
падамāҷард,"субстантивированное местоименное наречие дальн. ст. со значением адресата: тому, тем, что там (наверху)"
падамецанд,"субстантивированное местоименное наречие дальн. ст. со значением принадлежности: у того, у тех, что там наверху"
падамецард,"местоименное наречие дальн. ст. со значением адресата: тому, тем, что там наверху"
падамец,местоименное наречие дальн. ст. со значением предела: до того места вверху
падари,"со стороны отца, по отцу"
паде,там (вверху)
падеданд,"при субстантивации имеет значения: тем, тому, у тех, что там (наверху)"
падедард,"при субстантивации имеет значение адресата действия: тем, тому, что там (наверху)"
падедāҷ,"местоименное наречие средн. ст.: там вверху; туда вверх, в ту сторону вверх"
падедāҷанд,"субстантивированное местоименное наречие средн. ст. со значением принадлежности: у того (у тех), что там, наверху"
падедāҷард,"субстантивированное местоименное наречие средн. ст. со значением адресата: тому, тем, что там наверху"
па́дедецинд,"субстантивированное местоименное наречие средн. ст. со значением принадлежности: у того, у тех, что там наверху"
падедецард,"субстантивированное местоименное наречие средн. ст. со значением адресата: тому, тем, что там наверху"
падедец,местоименное наречие средн. ст. с оттенком предела: до того места вверху
пад-канвой,под конвоем
паду̊,здесь наверху
паду̊дард,местоименное наречие ближн. ст. сюда вверх
паду̊дāҷ,"местоименное наречие ближн. ст: здесь наверху; сюда (вверх), в эту сторону (вверх)"
паду̊дāҷанд,"местоименное наречие ближн. ст. со значением принадлежности: у того (у тех), что здесь наверху"
паду̊дāҷард,"субстантивированное местоименное наречие ближн. ст. со значением адресата: тому, тем, что здесь (наверху)"
паду̊децанд,"местоименное наречие ближн. ст. со значением принадлежности: у того, у тех, что здесь наверху"
паду̊децард,"местоименное наречие ближн. ст. со значением адресата: тому, тем, что здесь (наверху)"
паду̊дец,местоименное наречие ближн. ст. со значением предела: до этого места (вверх)
пар-ах̌ӣб,"позавчера, два дня тому назад"
пас-пасак,"через пять дней, на шестой день"
па́с-па́сум,"через пять дней, на шестой день, после пяти дней"
пасу̊м,"через четыре дня, на пятый день"
пасу̊м-wидир,"через пять дней, на шестой день"
патади,"выше, повыше, больше вверх"
патарāҷ,"вверх, наверх, снизу вверх; на подъём"
пех̌аки,"раньше, прежде, заранее"
пе́х̌-пе́х̌,"постепенно, с течением времени, мало-помалу, со временем"
пиго,"давно, рано; уже"
пидфа́к-аθ,"близко, рядом"
пизӯрикик,немножечко
пизӯр-пизӯр,"понемножку, понемногу"
пила́қаст,"с рычанием, с ревом, с урчанием; со свистом"
пиродаки,заранее
пироди,ближе
пис-вирх̌,"пополам, на две части; поровну"
писир,в страхе
пицӣцӯ,впустую; бестолку
паɣ̌ɣ̌аст,"с шумом, со свистом, с грохотом"
пойи,"ни с места, без движения, ни туда ни сюда"
пойчу̊в-гӣл,с неровной головой
полни,"все полностью, целиком"
пур,"полно, много"
пуралам,"жалобно, печально, горько"
параст,"с шорохом, с шумом (о полете птиц)"
пураст,мгновенно вспыхивая
пурθаст,"с шорохом, с шумом"
парθ-парθ,"с шумом, с шорохом, шумно (от быстрого движения)"
пурпарах̌ӣби,позавчера
пуррā-аθ,"полностью, целиком"
пурсадос,три года тому назад
пур-чанду̊н,"очень сильно, очень много, чересчур (при отрицательной форме глагола)"
пурғубӯ́р-аθ,плотно
пух̌wорадор,с вязанкой дров за плечами
пух̌ти,принято издавна; в роду
рабахāw-рабахāw,"покачиваясь, пошатываясь, шатаясь; вразвалку; колеблясь, колыхаясь"
ра́мбат,"внезапно, вдруг"
рамеθ,"целый день, весь день"
рапат,"вдруг, неожиданно; моментально"
рафтā́-рафтā́,"постепенно, понемногу"
рах̌āб,"целую ночь, всю ночь"
ра́цаст,"вдруг, внезапно, сразу"
рақ-рақаθ,"откровенно, прямо, без обиняков; без церемоний"
рāмаҷи́наθ,жалобно
рêқ-рêқи,"откровенно, без утайки"
роwна,"ровно, точно"
ростаθ,"по правде говоря; откровенно, чистосердечно, прямо"
ро́ст-о-ро́ст,"прямо, непосредственно"
ри́нд-аθ,"категорически, прямо; ясно, откровенно"
рӯз-дар-мииу̊н,ежедневно
рӯ́зо,"днями, на днях"
руйирост,"прямо, открыто, откровенно"
рӯ́-па-рӯ́,"напротив, с противоположной стороны"
рӯфитӣрм,"неожиданно, вдруг"
сабо,завтра
саwороw,верхом
сад,"очень, сильно; слишком"
сади,"сотнями, по сто"
санад,"достоверно, точно"
сар,"формант превосх. ст. прил. и нареч.: самый, (из) всех, наи-"
са́р-аwwа́л,"в первый раз, впервые"
са́р-зибо́,"в конце, под конец; позже, в конце концов"
са́р-пиро́,"прежде (всего), сперва, сначала"
са́р-сара́к,"(формант превосх. ст.) самый, (из) всех, наи-"
сā́м-бар-сā́м,"быстро, торопливо, мгновенно"
сāр,"завтра; назавтра, на другой день"
сā́раθ,"рано утром, на рассвете, на заре"
