cyrillic,meaning
рафӣқ,"товарищ; друг, подруга"
рафӣқ,товарищ (обращение)
рафӣқ,товарищ (обращение)
рафӣқ,любовник; любовница
рафӣқ,любовник; любовница
ризан,дочь
ризӣн,дочь
ризан,"дочка, доченька (при обращении старших к младшим)"
ризӣн,"дочка, доченька (при обращении старших к младшим)"
рих̌енҷ,рушанец; рушанка
рих̌енҷ,рушанский
рӣм,тополь белый (Рopulus alba); серебристый тополь
ситу̊р,крупный рогатый скот
ситу̊р,"скотина, дурак"
сиғур,сурок
сиғур,упрямец
сол,год
тамбу̊н,"штаны, шаровары"
танбу̊н,"штаны, шаровары"
тāм,"тогда, в то время; в ту пору, в прошлом"
тāнгаҷ,"житель селения Танг, тангец"
темаҷ,человек родом из Тема
темеҷ,человек родом из Тема
тусби,четки
харағҷ,"хорогец, житель Хорога"
харғаҷ,"хорогец, житель Хорога"
харғеҷ,"хорогец, житель Хорога"
харичбуц,"дитя, ребенок; мальчуган"
харич,"дитя, ребенок; мальчуган"
харч,"дитя, ребенок; мальчуган"
хêр,племянник; племянница
хêрй,племянник; племянница
хêр,обращение к младшим
хêрй,обращение к младшим
хийу̊д,"невестка, жена брата, жена родственника; свояченица (сестра жены); золовка (сестра мужа)"
хийу̊н,"невестка, жена брата, жена родственника; свояченица (сестра жены); золовка (сестра мужа)"
хисӣрӡ,деверь (брат мужа); шурин (брат жены); зять (муж сестры)
хисӣрӡй,деверь (брат мужа); шурин (брат жены); зять (муж сестры)
хисурй,тесть; свекор
хисурй,тесть; свекор
х̌ӣх̌,"теща, свекровь"
хӣх̌й,"теща, свекровь"
холак,дядя (со стороны матери)
холакй,дядя (со стороны матери)
холак,"дядя, дядюшка (при обращении к старшим)"
холакй,"дядя, дядюшка (при обращении к старшим)"
холак,племянник; племянница (при обращении к детям сестры)
холакй,племянник; племянница (при обращении к детям сестры)
холак,племянник; племянница (при обращении старших к младшим)
холакй,племянник; племянница (при обращении старших к младшим)
ху̊фаҷ,"житель Хуфа, хуфец"
ху̊феҷ,"житель Хуфа, хуфец"
х̌а,"шах; князь, правитель (раньше – титул самостоятельных правителей Шугнана и Рушана)"
х̌а,"имя собств. муж. или его компонент, напр. *Малак-х̌ā*, *Х̌ā-малак*"
х̌āр,город
х̌āр,"край, страна (за пределами Памира)"
х̌āр,городской
х̌ипуδаҷ,"шипудец, житель Шипуда (селение в нижнем Рушане)"
х̌ипуδеҷ,"шипудец, житель Шипуда (селение в нижнем Рушане)"
х̌итêрȥ,"падающая звезда, метеор"
х̌итур,верблюд
х̌иδҷаҷ,житель поселка Шидж (в Хороге)
х̌аҷ,"бык, вол"
х̌ӣҷ,"бык, вол"
х̌аҷ,"глупый, тупой"
х̌ӣҷ,"глупый, тупой"
цавӣнц,оса
цивӣнц,оса
цавӣнц,пчела
цивӣнц,пчела
цавӣнц,"зловредный, вредный, ядовитый"
цивӣнц,"зловредный, вредный, ядовитый"
цицу,улар
чиб,ложка
чибх,ложка
чибак,уменьш. ласк. к чиб ложечка
чад,дом; двор
чор,"муж, супруг"
чорик,"мужчина, человек"
шаг,"теленок, телка"
ғāц,девушка; девочка
ғāц,"дочь, дочка"
ғāц,любовница
ғаδаг,"мальчик; парень, юноша"
ғаδа,"мальчик; парень, юноша"
ғиδаг,"мальчик; парень, юноша"
ғиδа,"мальчик; парень, юноша"
ғаδаг,любовник
ғаδа,любовник
ғиδаг,любовник
ғиδа,любовник
ғиҷад,хлев; скотный двор
ғундаҷ,"гундец, житель долины р. Гунд"
ғар,яичко
ғур,яичко
ɣ̌āж,"альпийская галка, клушица"
ɣ̌āҷ,"альпийская галка, клушица"
жāɣ̌,"альпийская галка, клушица"
ɣ̌ин,жена
қаwм,"родственник, родня"
қу̊wм,"родственник, родня"
қу̊м,"родственник, родня"
қанд,сахар
қолӣн,ковер
қудаг,"сват, сваха (родители супругов по отношению друг к другу)"
қуда,"сват, сваха (родители супругов по отношению друг к другу)"
қудг,"сват, сваха (родители супругов по отношению друг к другу)"
қудй,"сват, сваха (родители супругов по отношению друг к другу)"
ҷо,"место, определенное пространство"
ҷо,"место, край, область, местность"
ҷо,"местонахождение, местожительство"
ҷал,"тряпка, лоскут материи"
амрог,"вместе, совместно"
амро,"вместе, совместно"
ох̌ног,"друг, приятель; товарищ"
ох̌но,"друг, приятель; товарищ"
ох̌ног,фамильярное обращение мужа к жене
ох̌но,фамильярное обращение мужа к жене
ох̌ног,любовница
ох̌но,любовница
мев,"формы вторичн. мн. имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т.п."
меф,"формы вторичн. мн. имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т.п."
тāм,"потом, после, тогда"
тāм,в таком случае; тогда; поэтому
тāм,"ну, же, ведь, да, уж"
абӣн,"жена человека, имеющего несколько жен (по отношению к его другим женам)"
амрог,"вместе, совместно; спутник, попутчик"
амро,"вместе, совместно; спутник, попутчик"
амсойаг,сосед
арwог,"дух, душа умершего"
арwо,"дух, душа умершего"
бач,"дитя, ребенок, мальчик, сын"
бачгала,"детвора, ребятишки, ребята"
беақли,"глупый, глупец"
чармак,"тальниковые петли, поддерживающие веретено в самопрялке"
чад,дом
дишад,крыша
дӯст,друг
дӯст,друг
гач,"портянка, онуча, которой завертывается только ступня ноги поверх чулка"
гаҷ,козленок
гиҷ,козленок
гуҷ,козленок
кад,"собака, пес, кобель"
ланҷ,щека
мардӣнаг,мужчина
миɣ̌аҷ,баран
нибос,внук
нибосй,внук
пац,сын
рафиқ,"друг, товарищ, подруга"
рафӣққ,"друг, товарищ, подруга"
рих̌енҷ,рушанец
шаг,теленок
ташкӣлот,"организация,  учреждение"
виродāр,брат
вродāр,брат
wужра,"келья, каюта, камера, каморка"
харағҷ,"хорогец, житель города Хорог"
харғаҷ,"хорогец, житель города Хорог"
хорағеҷ,"хорогец, житель города Хорог"
хêр,"племянник, племянница"
хêрй,"племянник, племянница"
х̌аҷ,бык
йах-ӡин,сестра
йах,сестра
зинаɣ̌,"невестка, жена сына"
нибêсй,внучка
нибу̊с,внучка
wужра,"странноприимный дом, помещение для приезжающих"
