cyrillic,meaning
wизентоw,"уважать, признавать, почитать"
wизентоw,"в формулах просьбы, мольбы, заклинания: сделать что-л."
wилāмбтоw,"класть, укладывать, накладывать; наваливать"
wилāмтоw,"класть, укладывать, накладывать; наваливать"
wирӣвдоw,"вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*)"
wирӣвдоw,отставать (напр. в развитии); ослабевать; отцветать
wирембтоw,"заставлять стоять; ставить на отдых, привязывать (напр. лошадь)"
wиремтоw,"заставлять стоять; ставить на отдых, привязывать (напр. лошадь)"
wирембтоw,"заставлять стоять в наказание, ставить в угол"
wиремтоw,"заставлять стоять в наказание, ставить в угол"
wирех̌тоw,распарывать; разрезать
wирех̌тоw,"проникать, проходить, пробираться, продираться"
wирêздоw,"справляться, осиливать, хорошо делать что-л."
wирӣwдоw,расплетаться; распарываться
wирӣwстоw,расплетаться; распарываться
wиру̊ӡдоw,"распарывать; расплетать, распускать (о сплетенном, связанном)"
wирӣwдоw,"распарывать; расплетать, распускать (о сплетенном, связанном)"
wихойтоw,"ударять, бить; колоть, мельчить"
wих̌их̌тоw,"расчесывать, причесывать"
wих̌идоw,отпирать (ключом)
wих̌кӣвдоw,"перебирать, разбирать, теребить (руками)"
wих̌кӣвдоw,"кромсать, рвать на части, на куски (при угрозе)"
wиӡêртоw,"разбрасывать навоз, удобрять навозом"
wиӡидоw,"чистить, очищать; убирать; освобождать (от чего-л.)"
wиӡидоw,"сметать, стирать с лица земли, громить"
wиштоw,"мешать, размешивать, перемешивать; ворошить, переворачивать; ковырять"
wиштоw,"работать не спеша, помаленьку, ковыряться, возиться"
wиштоw,"хлопотать за кого-л., содействовать; заботиться"
wойāфтоw,"стремиться, тянуться, бросаться"
wолтоw,высиживать яйца
wолтоw,"прорастать, приниматься, развиваться (о растении)"
wолтоw,"двигаться, перемещаться"
wêх̌тоw,"падать, валиться; рушиться"
wêх̌тоw,проваливаться; терпеть неудачу
wêх̌тоw,"лишаться (должности, чина и т. п.)"
wêх̌тоw,"рваться, изнашиваться"
wêх̌тоw,"оказываться, попадать"
wêх̌тоw,"появляться, рождаться"
wêх̌тоw,"мерзнуть, зябнуть, стыть, коченеть"
wуздоw,"копошиться, кишеть, шевелиться (о насекомых)"
wурздоw,"дрожать, ощущать озноб; судорожно сокращаться (о теле или какой-л. его части)"
wухтоw,кашлять
wуцтоw,"двигаться, идти потихоньку, шагать медленно; плестись, ковылять"
wуцтоw,"качаться, колебаться; двигаться, шевелиться; дрожать, трястись"
wуцтоw,работать не торопясь; трудиться понемногу
wуцентоw,"двигать, шевелить; качать, трясти"
wақсентоw,"вызывать тошноту, рвоту"
wуқсентоw,"вызывать тошноту, рвоту"
ақсентоw,"вызывать тошноту, рвоту"
wойтоw,ныть; рыдать; плакать
wу̊йтоw,ныть; рыдать; плакать
wойтоw,ахать да охать; захваливать; сглазить
wу̊йтоw,ахать да охать; захваливать; сглазить
wу̊ғдоw,"мычать, реветь (о быке, воле, верблюде)"
wу̊ғдоw,"реветь, орать; плакать в голос"
гарδентоw,"вращать, вертеть, кружить; поворачивать, переворачивать, сворачивать"
гарδентоw,"поворачивать, заворачивать, возвращать с пути"
гарδентоw,"превращать, изменять, видоизменять; обращать; преображать"
гарδентоw,переправлять
гарδентоw,"опрокидывать, переворачивать; просыпать, проливать"
гарδентоw,"возвращать, отдавать, платить"
гарδентоw,хлебать; уплетать
гāх̌тоw,"вращаться, вертеться, кружиться; оборачиваться; поворачиваться; переворачиваться"
гāх̌тоw,"превращаться; изменяться, видоизменяться; делаться, становиться"
гāх̌тоw,"переходить; переправляться, преодолевать какую-л. преграду"
гāх̌тоw,"опрокидываться, переворачиваться; просыпаться; проливаться"
галнêɣ̌доw,"крутить, вертеть, вращать, кружить"
гилнêɣ̌доw,"крутить, вертеть, вращать, кружить"
галнêɣ̌доw,"беспокоить, тревожить, заставлять хлопотать, возиться"
гилнêɣ̌доw,"беспокоить, тревожить, заставлять хлопотать, возиться"
гирздоw,"горько плакать, рыдать; стонать; страдать; горевать"
ҷирздоw,"горько плакать, рыдать; стонать; страдать; горевать"
гӣртоw,соглашаться; слушаться; терпеть (чаще при отрицании)
гумбу̊нтоw,"укутывать, закрывать, покрывать, прикрывать"
гумбу̊нтоw,"закрываться, покрываться, укрываться"
гимортоw,"уполномочивать, велеть"
гумортоw,"уполномочивать, велеть"
даwу̊нтоw,"расти, разрастаться, прорастать, приниматься; пускать (корни, ростки), перерастать; покрываться, затягиваться (о ране, ссадине)"
дактоw,пересыхать (в горле); испытывать жажду
дарйêвдоw,"целовать (в знак уважения); касаться, приникать губами (к священному предмету)"
дарйовдоw,"целовать (в знак уважения); касаться, приникать губами (к священному предмету)"
дақентоw,ж. к дуқен:дуқент
дāмтоw,"дуть, выдувать, раздувать (огонь кузнечным мехом)"
дедоw,входить (в разн. знач.); вступать; поступать куда-л.
дӣтоw,"бить, колотить, ударять; толочь, разбивать, раскалывать"
дӣтоw,"гнать, гонять, погонять; пускать"
дӣтоw,"пускать воду, поливать"
дӣтоw,"критиковать, пропесочивать; чернить"
дӣтоw,"пить; хлебать; жрать, лопать и т.п."
дивентоw,веять (зерно)
дивих̌тоw,показывать; демонстрировать
дивих̌тоw,проучить; наказывать
дивих̌тоw,"показываться, быть, становиться видным; казаться"
даwентоw,"гнать, погонять; заставлять бежать, скакать"
диwентоw,"гнать, погонять; заставлять бежать, скакать"
дирамбтоw,"биться, трепетать, стучать (о сердце)"
дирамтоw,"биться, трепетать, стучать (о сердце)"
дирамбтоw,"опасаться; чувствовать, казаться"
дирамтоw,"опасаться; чувствовать, казаться"
думбтоw,топать
думтоw,топать
дангтоw,дрожать (от холода)
дунгтоw,дрожать (от холода)
дунгтоw,"перебирать струны, играть (на струнном инструменте)"
дунктоw,"перебирать струны, играть (на струнном инструменте)"
дуптоw,"бить, лупить, колотить"
дуқтоw,идти рысью (о лошади)
дуқентоw,"качать, шатать; трясти"
дуқентоw,"возить; таскать, волочить"
δактоw,"лизать, облизывать, вылизывать"
δиктоw,"лизать, облизывать, вылизывать"
δактоw,"растрачивать, расходовать"
δиктоw,"растрачивать, расходовать"
δêдоw,давать; дарить; отдавать; предоставлять
δêдоw,выдавать замуж
δêдоw,"ударять, бить, стегать; вонзать, втыкать"
δêдоw,бодать
δêдоw,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δêдоw,"убивать, подстреливать (на охоте)"
δêдоw,давить; жать
δêдоw,"бросать, кидать; швырять"
δêдоw,"касаться, трогать, задевать (прям. и перен.)"
δêдоw,точить
δêдоw,играть (на музыкальном инструменте)
δêдоw,"помещать, класть (в разн. знач.)"
δêдоw,"связывать, соединять; добавлять, прибавлять"
δêдоw,"воздействовать, влиять, оказывать влияние, охватывать"
δêдоw,передвигаться (в разн. знач.)
δêдоw,делать; устраивать (в разн. знач.)
δêдоw,ругать
δêдоw,"тратить, расходовать"
δêдоw,"лопать, лакать, дуть, пить; жрать"
δêдоw,одеваться
δêдоw,"бросаться; передвигаться, двигаться, добираться"
δêдоw,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δêктоw,"заставлять, принуждать лизать"
δêртоw,только как второй элемент в сложноименных глаголах с различным значением
δêдоw,"падать, валиться, сваливаться"
δêдоw,"падать, выпадать, идти (об осадках)"
δêдоw,"попадать, оказываться"
δêдоw,"ударяться, стукаться; наталкиваться, натыкаться"
δêдоw,"случаться, происходить"
δêдоw,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δêдоw,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
δимêдоw,"выделывать, обрабатывать (шкуру)"
δу̊вдоw,собирать; рвать
δӣвдоw,собирать; рвать
δу̊вдоw,"клевать, склевывать"
δӣвдоw,"клевать, склевывать"
δӣwдоw,доить
θидоw,гореть; сгорать; зажигаться
θидоw,обжигаться
θидоw,пропадать (даром)
θӣптоw,"кушать, есть (сыпучее, напр. толокно, сахарный песок)"
θêwдоw,"заставлять гореть, зажигать; жечь, сжигать"
θидоw,"заставлять гореть, зажигать; жечь, сжигать"
θêwдоw,"огорчать, расстраивать; печалить, причинять душевную боль"
θидоw,"огорчать, расстраивать; печалить, причинять душевную боль"
жартоw,"трещать, потрескивать (о жарящемся мясе, сале и т. п.)"
жартоw,"звенеть, скрежетать, лязгать (о металле)"
жақтоw,"жать, выжимать; давить; сдавливать"
жақтоw,"притеснять, угнетать"
жептоw,"прясть, сучить (нитки)"
жӣвдоw,"прясть, сучить (нитки)"
жиwалтоw,"блестеть, сверкать, переливаться"
жидақтоw,"дрожать, трястись"
жидартоw,"портить воздух, испускать газы"
жиду̊ртоw,"портить воздух, испускать газы"
жирих̌тоw,"кусать, жалить"
жӣwҷ чӣдоw,любить; одобрять; уважать
жӣwҷдоw,любить; одобрять; уважать
жӣwҷ чӣдоw,"хотеть, желать; намереваться"
жӣwҷдоw,"хотеть, желать; намереваться"
жӣwҷ чӣдоw,"требоваться, быть нужным"
жӣwҷдоw,"требоваться, быть нужным"
жêх̌тоw,бегать; бежать
жêх̌тоw,"гулять, ходить (с кем-либо), ухаживать, бегать (за кем-л.)"
зарвдоw,"умолять, молить; упрашивать"
зирвдоw,"умолять, молить; упрашивать"
зарwāнтоw,"вертеться, поворачиваться"
зарwāчтоw,"вертеться, поворачиваться"
зарwӣнтоw,"наматывать, свертывать, завертывать"
зақтоw,"беспокоиться, тревожиться, волноваться; грустить"
зақтоw,"кипеть, вариться, густеть (о густом пахтанье)"
зақентоw,"тревожить, волновать, беспокоить, обижать"
зêх̌т,"брать; взимать, взыскивать (в разн. знач.)"
зêх̌тоw,"брать; взимать, взыскивать (в разн. знач.)"
зêх̌т,получать (в разн. знач.); принимать
зêх̌тоw,получать (в разн. знач.); принимать
зêх̌т,покупать
зêх̌тоw,покупать
зêх̌т,снимать (напр. головной убор)
зêх̌тоw,снимать (напр. головной убор)
зêх̌т,"освобождать, снимать (с должности)"
зêх̌тоw,"освобождать, снимать (с должности)"
зêх̌т,"фотографировать, снимать, делать снимок"
зêх̌тоw,"фотографировать, снимать, делать снимок"
зêх̌т,"убирать, собирать (урожай)"
зêх̌тоw,"убирать, собирать (урожай)"
зêх̌т,"усваивать, выучивать"
зêх̌тоw,"усваивать, выучивать"
зêх̌т,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зêх̌тоw,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зêдоw,нестись; телиться; ягниться; жеребиться; котиться; рождать (чаще о животных; о женщине – неодобр.)
зибакцтоw,"бросаться, кидаться; тянуться (чаще о ребенке)"
зибидоw,"прыгать, скакать; бросаться, кидаться (прям. и перен.)"
зибидоw,"отваливаться, отскакивать; падать, валиться"
зибидоw,"исчезать, пропадать; убегать"
зибентоw,"заставлять, принуждать прыгать; помочь перескочить, перепрыгнуть"
зибентоw,переправлять (через реку)
зибентоw,"выгонять, отправлять (силой); выпроваживать"
зибентоw,"доканчивать, завершать, доделывать"
зибêтоw,"отделять, снимать, отлеплять (лепешку от стены очага)"
зиwêстоw,"вынимать, вытаскивать, извлекать, выносить"
зиwêстоw,добывать
зиwêстоw,"высвобождать, освобождать, избавлять"
зиwêстоw,"выгонять, изгонять; исключать"
зиwêстоw,"выпускать, издавать"
зиwêстоw,"выявлять, определять; приходить к выводу"
зиwêстоw,"доводить до конца, заканчивать"
зигарентоw,"гнать, прогонять"
зигêртоw,"гнать, прогонять, обращать в бегство"
зигарентоw,"гнать, прогонять, обращать в бегство"
зидих̌тоw,"рваться, разрываться; ломаться; лопаться, трескаться (прям. и перен.)"
зидих̌тоw,"валиться, обрушиваться"
зидих̌тоw,"распускаться, перестать владеть собой"
зидих̌тоw,"спадать, утихать"
зидих̌тоw,"заканчиваться, кончаться"
зидих̌тоw,"рвать, разрывать, ломать"
зидарδентоw,"рвать, разрывать, обрывать"
зидӣдоw,"подметать, выметать, выгребать, вычищать, вытирать"
зидӣдоw,"обчищать, обкрадывать"
зидêрδоw,"рвать, разрывать; ломать"
зидих̌тоw,"рвать, разрывать; ломать"
зийаwентоw,"давать высыхать, выгорать (о растениях)"
зийих̌тоw,"вянуть, высыхать, засыхать, выгорать"
зийêwдоw,"давать высыхать, выгорать (о растениях)"
зийêwтоw,"давать высыхать, выгорать (о растениях)"
зийу̊ɣ̌доw,"давать высыхать, выгорать (о растениях)"
зиктоw,"наступать ногой; придавливать, давить ногой, топтать"
зилwêɣ̌ӡдоw,испытывать тошноту (в сочетании со словом зорδ)
ӡилwêɣ̌ӡдоw,испытывать тошноту (в сочетании со словом зорδ)
зинтоw,"отнимать, отбирать, вырывать (из рук)"
зинêдоw,"мыть, обмывать"
зинêдоw,мыться
зинêдоw,стирать
зинойстоw,"скользить, соскальзывать"
зирғāптоw,"искать, разыскивать (в темноте)"
зиғāптоw,"искать, разыскивать (в темноте)"
зирғāптоw,"болтать, говорить ерунду"
зиғāптоw,"болтать, говорить ерунду"
зӣдоw,"убивать, умерщвлять; губить, уничтожать"
зӣдоw,"бить, лупить, ударять"
зӣдоw,"мучить, тиранить, изматывать, переутомлять"
зӯртоw,"напрягаться, силиться, тужиться"
инӡу̊вдоw,укладывать спать; убаюкивать
йӣдоw,молоть
йӣдоw,"размельчать, измельчать, толочь, дробить"
йêдоw,"нести, носить"
йêдоw,"уносить, сносить (водой, ветром)"
йêдоw,"везти, возить, увозить, отвозить; вести, уводить, отводить"
йêдоw,"помещать, совать; помещаться"
йêдоw,"сжигать, травить, уничтожать, съедать"
йêдоw,"(в конструкции с глаголом зêх̌тоw) уносить, уводить с собой, брать, забирать с собой"
калкитентоw,"крутить; волочить, тащить, заставлять возиться"
картоw,"скрестись, царапаться; шуршать, шелестеть"
карх̌тоw,"шуршать; скрипеть, хрустеть"
кафцтоw,"вязнуть, тонуть (напр., в снегу, грязи)"
кифтоw,"вязнуть, тонуть (напр., в снегу, грязи)"
кафцтоw,"вонзаться, втыкаться"
кифтоw,"вонзаться, втыкаться"
кахцтоw,путаться (о нитках)
кихтоw,путаться (о нитках)
кахцентоw,"путать, запутывать (о нитках)"
ких̌тоw,"резать, убивать, закалывать животных; свежевать, разделывать тушу"
ких̌тоw,"хорошо делать что-л., выполнять качественно какую-л. работу; отлично справляться с чем-л."
кāх̌тоw,сост. часть глагола дар-кāх̌тоw
кêхтоw,кашлять
кигих̌тоw,ковырять (в зубах)
кигӣх̌тоw,"усердно трудиться; стараться, силиться; тужиться; возиться"
кигӣх̌тоw,"принуждать, заставлять возиться, трудиться; мучить"
кидêздоw,выливать; вливать (остаток чего-л.) — кауз. к кидойс:кидӯйд
кидêӡдоw,выливать; вливать (остаток чего-л.) — кауз. к кидойс:кидӯйд
кидӣдоw,"вытекать, течь, освобождаться (от жидкости)"
кидӣйдоw,"вытекать, течь, освобождаться (от жидкости)"
килахтоw,скрипеть; стучать
киртоw,"чирикать, ворковать (о маленькой куропаточке)"
киристоw,"скоблить, выскабливать; скрести, очищать"
кирӣстоw,"скоблить, выскабливать; скрести, очищать"
киристоw,"тереть, растирать, натирать; колоть"
кирӣстоw,"тереть, растирать, натирать; колоть"
кирêздоw,"выливать; опорожнять, освобождать (сосуд от жидкости)"
кирêх̌тоw,"тащить, волочить; двигать, передвигать"
кирӣwстоw,вытекать
кирштоw,"шлепать, шаркать; ходить с шумом, громыхать"
китентоw,"таскать, тащить; волочить"
коwу̊нтоw,ковырять
коwу̊нтоw,"откапывать, отыскивать; узнавать, допытывать, докапываться"
коwу̊нтоw,"расстраивать; мучить, досаждать; упрекать"
куртоw,скрестись
кирух̌тоw,хлопотать
курух̌тоw,хлопотать
курх̌тоw,"шлепать, шаркать, ходить с шумом"
курштоw,хлопотать; хозяйничать
лахтоw,"стучать; скрестись, греметь"
лаɣ̌ӡентоw,лихорадить; трепать (о лихорадке)
