cyrillic,meaning
аɣ̌ой,"ложиться, укладываться, разваливаться (чаще о животных)"
аwой,"никнуть к земле, стелиться (о растениях)"
аɣ̌ой,"никнуть к земле, стелиться (о растениях)"
аwой,"рассаживаться, разваливаться (о человеке)"
аɣ̌ой,"рассаживаться, разваливаться (о человеке)"
биδāв,"закрываться (напр., о глазах, рте)"
биδов,"закрываться (напр., о глазах, рте)"
нах̌той,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌той,"возникать, появляться, объявляться"
нах̌той,"объявляться, заявляться, прибывать"
нах̌той,добираться
нах̌той,выходить из печати
нах̌той,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌той,"оказываться, обнаруживаться"
нах̌той,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌той,уходить (от мужа)
андой,"вставать, подниматься"
аррах̌,"подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы"
биδов,закрываться (о глазах)
моɣ̌,умирать
нах̌фāδ,"вывихиваться, выдергиваться"
нах̌то́й,выходить
наɣ̌ҷāδ,"переходить, проходить"
ниδо́в,"прилепляться, приклеиваться, приставать"
паδ,"гнить, портиться, тлеть"
пиδов,"начинать, приниматься за..., приставать к..."
пирос,"рвать, разрывать"
пирош,"рвать, разрывать"
писаδ,"утешаться, затихать"
рицос,убегать
риwах̌,летать
саδ,"отправляться, идти, уходить, уехать, уезжать"
сифāδ,подниматься
тах̌,драться (преимущественно о собаках и др. животных)
той,"идти, ехать"
ваδ,быть
вирах̌,"ломаться, разбиваться"
wиров,"вставать, стоять"
х̌ицоδ,"мерзнуть, замерзать"
х̌икаф,"расцветать, распускаться"
зибаδ,прыгать
зидах̌,"рваться, ломаться"
зийах̌,"увядать, засыхать"
θаδ,"гореть, зажигаться"
саδ,"делаться, становиться"
