cyrillic,meaning
ку́ш-ку́ш,"возглас, которым натравливают на кого-л. собак"
кӯ-кӯ,воркование птиц
ку-ку,воркование птиц
ла-лāй,"бай-бай, баю-баю, башки-баю, баиньки"
лай-лāй,"бай-бай, баю-баю, башки-баю, баиньки"
лāй-лāй,"бай-бай, баю-баю, башки-баю, баиньки"
лигумрез,"все (вместе), гурьбой, толпой, все сразу"
лагумрез,"все (вместе), гурьбой, толпой, все сразу"
лу̊г-лу̊г,"луг-луг (возглас, которым подзывают яка)"
маҳ,"на!, нате!, возьмите!, берите!"
мāр,"на!, нате!, возьмите!, берите!"
ма́-йет,"на!, нате!, возьмите!, берите!"
мā́р-ет,"на!, нате!, возьмите!, берите!"
мет,"на!, нате!, возьмите!, берите!"
о,"о!, ах!"
оҳ,"о!, ах!"
олӯ,окрик (которым останавливают стадо мелкого рогатого скота)
олу̊,окрик (которым останавливают стадо мелкого рогатого скота)
ол,окрик (которым останавливают стадо мелкого рогатого скота)
ҳол,окрик (которым останавливают стадо мелкого рогатого скота)
омӣн,"аминь!, да будет так!"
омӣн,"все, конец"
омӣнулло,"аминулла! (восклицание, которым идущий приветствует пловца)"
омӣнилло,"аминулла! (восклицание, которым идущий приветствует пловца)"
офарӣн,"браво!, молодец!, хорошо!"
падар-нāлат,проклятие отцу!
парч,"(понукание, окрик для крупного рогатого скота) пошел!, ну, вперед!"
пах̌,"восклицание при боли, холоде: ой!, ай!, ох!, ах!, ух!, ух-ху!"
пах̌х̌ā,"восклицание при боли, холоде: ой!, ай!, ох!, ах!, ух!, ух-ху!"
пах̌ā,"восклицание при боли, холоде: ой!, ай!, ох!, ах!, ух!, ух-ху!"
пач,"восклицание при боли, холоде: ай!, ой!, ух!, ох!, ах!"
паччā,"восклицание при боли, холоде: ай!, ой!, ух!, ох!, ах!"
пачā,"восклицание при боли, холоде: ай!, ой!, ух!, ох!, ах!"
пигоди,так и надо; так и быть; давно бы так!
пиш,брысь! (окрик на кошку)
пу,"ох!, ой!, эх!, фу!, ну!"
пуҳ,"ох!, ой!, эх!, фу!, ну!"
поҳ,"ох!, ой!, эх!, фу!, ну!"
по,"ох!, ой!, эх!, фу!, ну!"
паҳ,"ох!, ой!, эх!, фу!, ну!"
па,"ох!, ой!, эх!, фу!, ну!"
пӯ,"ох!, ой!, эх!, фу!, ну!"
пуā,"ну!, ну и!, эх!"
пу̊ш-чух̌,"прочь!, подвинься! (окрик для лошадей)"
пу̊й-чух̌,"прочь!, подвинься! (окрик для лошадей)"
рāмат,спасибо
раҳмат,спасибо
рост,"разве?, неужели?, правда?"
саломолек,"здравствуй!, здравствуйте! (*формула приветствия*)"
сӣсилайму̊н,обращение к змее (в прибаутке)
соw,"стой!, тише! (окрик для быка и коровы)"
соwӯ,"стой!, тише! (окрик для быка и коровы)"
суw,стой! (окрик для быка)
сӯw,стой! (окрик для быка)
су̊w,стой!; тише! (понукание коровы при дойке)
таг,"окрик, которым погоняют ягнят и козлят"
тай,ку-ку (игра с ребенком в колыбели)
талх,"возглас, которым отгоняют ос"
та́нг-та́нг,"звон динь-динь, бом-бом (звук ударов по металлу)"
та́нга-та́нг,"звон динь-динь, бом-бом (звук ударов по металлу)"
ту́нг-ту́нг,"звон динь-динь, бом-бом (звук ударов по металлу)"
ту́нга-ту́нг,"звон динь-динь, бом-бом (звук ударов по металлу)"
тап,"""тап""! (окрик для охотничьих собак)"
тарарам,"трель, тра-ля-ля"
тирах,"трах!, бабах! (о выстреле)"
тирахаст,"трах!, бабах! (о выстреле)"
тирунг-тирунг,"треньканье, бренчание"
туwрра,"""туврра"" (возглас для отпугивания овец)"
тӯба-тахсӣр,"простите!, извините!, боже мой!"
тӯ-тӯ,цып-цып!
ту̊па-ту̊п,"шарах, трах, бац; с шумом"
ту̊п-ту̊п,"шарах, трах, бац; с шумом"
уббā,"гоп!, опля!"
убā,"гоп!, опля!"
уббāлиҷак,"гоп!, оп!, опля!"
убāлиҷак,"гоп!, оп!, опля!"
удло,"ах!, ой!, вот так так!"
улло,"ах!, ой!, ну, вот"
уло,"ах!, ой!, ну, вот"
улло-акбар,"слава богу!, бог велик"
улло-wакбар,"слава богу!, бог велик"
удло-wакбар,"слава богу!, бог велик"
удло-акбар,"слава богу!, бог велик"
уло,"эй, ой (формула обращения)"
уп,"гоп!, быть этому!, да будет!"
уррā,ура!
урā,ура!
уф,"ох!, ух!, ой!, ай!"
ух̌,"ох!, ой!"
у́х̌айе,"ай-ай!, ой-ой!, ай!, ой! (восклицание при боли)"
ух̌ā,"ой!, ай-ай!, ой-ой! (восклицание при боли)"
ух̌а,"ой!, ай-ай!, ой-ой! (восклицание при боли)"
ух̌āҳ,"ой!, ай-ай!, ой-ой! (восклицание при боли)"
у̊шша,"возглас, которым подзывают коров и быков"
у̊ша,"возглас, которым подзывают коров и быков"
у̊ш-у̊ш,"возглас, которым подзывают коров и быков"
фалак,"увы!, жаль!, эх! (возглас сожаления)"
фижжаст,звукоподражание шипению
фижаст,звукоподражание шипению
фиричаст,"крик, свист (сурка)"
фирӣчаст,"крик, свист (сурка)"
фричаст,"крик, свист (сурка)"
фрӣчаст,"крик, свист (сурка)"
фиссаст,"звукоподражание сопению, посапыванию"
фиқаст,неожиданный вскрик; вздох
фи́қ-фи́қ,всхлипывание
фи́қ-фи́қ,хихиканье
фиθ-фиθ,звукоподражание свисту
фӣза-фӣз,звукоподражание свисту; хрипу (в горле)
фус-фус,звукоподражание шмыганью (носом)
хап,"окрик, которым погоняют быков"
хер-бодо,"прекратить!, конец!"
хи́ш-хи́ш,крик сороки
хоҷ-хоҷ,понукание волов при молотьбе
хур-хур,хрип; храп
ху̊т-ху̊т,призывный возглас для ослов
х̌а́w-х̌а́w,"быстро-быстро, скорее"
х̌ат,"молчи!, молчать!"
ца-рāнгāҷ,"какой, что за"
ца-рангāҷ,"какой, что за"
цар-цар,"шуму дождя, шороху падающего снега; шелесту сухой травы"
цар-царак,"шуму дождя, шороху падающего снега; шелесту сухой травы"
ци́т-ци́т,"бормотание, лепет, бурчание, шепот"
цих̌,"возглас, которым понукают коз"
цӣw-а-цӣw,звон; скрип; свист
чих,"(окрик на собаку) прочь!, пошла!, вон!"
чух,"н-но!, пошел! (понукание лошадей)"
чӯш,не то!
шаг,"прочь!; пошел! (окрик, которым прогоняют телят)"
шитупаст,"бац, шлёп"
шиту̊паст,"бац, шлёп"
шитуп-шитуп,"бац, шлёп; со шлепаньем"
шиту̊п-шиту̊п,"бац, шлёп; со шлепаньем"
шу̊г-шу̊г,"окрик, которым подзывают телят"
қи́рӯ,"фу!, тьфу!, стыдно!"
wой,"ой!, ох!; батюшки!"
бигардам,"(возглас одобрения) молодец!, браво!"
бижжа,"окрик, которым подзывают теленка"
ару̊дрид,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
к-ару̊дрид,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
ару̊дри,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
к-ару̊дри,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
олу,окрик (которым останавливают стадо мелкого рогатого скота)
алек бар салу̊м,(ответное приветствие) здравствуй(те)!
а́-чен,"ой, батюшки (мои)!, о боже!, боже мой!, господи!"
йо сарко́ри олам!,(возглас удивления) о владыка мира!
у̊ раwу̊н у̊ш!,"эй!, ну, пошли! (возглас, которым понукают коров)"
тӯбā,возглас удивления
таwбā,возглас удивления
ту̊бā,возглас удивления
фу̊ққа́ст,звукоподражание хрюканью; фырканью
фу̊қа́ст,звукоподражание хрюканью; фырканью
фу̊ққат,звукоподражание хрюканью; фырканью
фу̊қат,звукоподражание хрюканью; фырканью
фаққаст,звукоподражание хрюканью; фырканью
фақаст,звукоподражание хрюканью; фырканью
х̌ипу̊х,"бах!, трах!, шлеп!"
х̌ипах,"бах!, трах!, шлеп!"
х̌ипу̊х̌-х̌ипу̊х,"грохоту, треску"
х̌ипах̌-х̌ипах,"грохоту, треску"
х̌уwаст,"журчанию, шелесту"
х̌аwаст,"журчанию, шелесту"
падар-лāнат,проклятие отцу!
а-лā,обращение
ба-худо,ей-богу!
бале,да! правильно! верно! (одобрение) (высокопарно)
бали,да! правильно! верно! (одобрение) (высокопарно)
бар,"прямо! (понукание правому быку во время пахоты, если он отклонится в сторону)"
баракалло,"благословен бог! да благословится! бог помощь! (возглас похвалы и одобрения, пожелание удачи в работе)"
бисмилло,во имя бога! (молитвенный возглас при начале какого-нибудь дела)
бод,да будет!
бучча,призывной возглас для козлят
чих,прочь! пошла! (окрик на собаку)
чуш,тише! стоп! (приказание остановиться ослу)
чух̌,н-но! пошел! (понукание лошадей)
чӯ,н-но! пошел! (понукание лошадей)
дар-бастā,что за напасть! полное разорение!
дӣл,баю-баю
гац,окрик на коз
гец-а-гец,призывной возглас для коз
лāй-лāй,баю-баю
ма,на! возьми! вот!
мāw-мāw,мяу-мяу
офарӣн,слава! хвала! браво!
олӯ,"окрик, которым останавливают стадо мелкого рогатого скота"
омӣн,аминь! да будет так!
пано-ба-худо,да хранит бог! прибежище к богу! (прощальная формула)
парч,"понукание, окрик для коров, быков, чтобы посторонились, подвинулись"
пиш,брысь! (окрик на кошку)
пӣш-пӣш,кис-кис! (призывный возглас для кошек)
пуā,междометие
қӯ,окрик для отпугивания птиц
шаг,прочь! пошел! (окрик на телят и яков)
саломолек,мир вам! здравствуйте!
соwӯ,тише! стой! (приказание остановиться быку или корове)
шу̊г-шу̊г,призывной окрик для телят
у̊шша,призывной возглас для коров и быков
ух̌а,"восклицание, выражающее боль: ай-ай! ой-ой!"
ух̌ā,"восклицание, выражающее боль: ай-ай! ой-ой!"
wай,ой! ох! батюшки!
wай дод,ой! ох! батюшки!
wур,н-но! ну! (понукание верблюдов)
wу̊р-wу̊р,призывной возглас для верблюдов
wуш,"окрик, которым понукают или отгоняют быков или коров"
хабардор,берегись! будь осторожен!
хап,"окрик, которым погоняют быков во время пахоты"
х̌ат!,молчи! молчать!
хиш-хиш,крик сороки
ху̊т-ху̊т,призывной возглас для ослов
йа-йа,призывной возглас для лошадей
йих,"окрик, которым понукают или отгоняют ослов"
йо,о! ох!
зойā,"увы! жаль!, к сожалению"
ей,"э!, о!, ах!, эх!"
шитапаст,"бац, шлёп"
мет,нате! вот!
