wordform,tagged
yerusalīm-and,yerusalīm<nprop><loc>
šimůn,šimůn<nprop>
nům,nům<n>
čorik,čorik<n>
vud,vu<v><pst>
atā,atā<cnj>
yu,yu<dem>
aqdūst,aqdūst<n>
at,at<cnj>
porso,porso<n>
odam,odam<n>
vud,vu<v><pst>
yisroyīl-ard-i,yisroyīl<nprop><lat><3sg>
naǰot,naǰot<n>
tilāpt,tilāp<v><pst>
atā,atā<cnj>
rūyi,rū<n><ez>
ilohi,ilohi<n>
wi-rd,wi<dem><lat>
firīpčin,firīp<v><pf><ptcp1>
vud,vu<v><pst>
šimůn-ard-i,šimůn<nprop><lat><3sg>
rūyi,rū<n><ez>
ilohi,ilohi<n>
yik-dis,yik<pro><such>
mālum,mālum<n>
čūd,čū<v><pst>
idê,idê<cnj>
tůnec-i,tůnec<prep><3sg>
xudowand,xudowand<n>
mase,mase<n>
wīnč,wīn<v><pf>
yu-ta,yu<dem><irr>
mīrt,mīr<v><prs><3sg>
rūyi,rū<n><ez>
ilohi,ilohi<n>
wi-yi,wi<dem><3sg>
xabar,xabar<n>
čūd,čū<v><pst>
xu,xu<cnj>
yu,yu<dem>
yat,ya<v><pst>
tar,tar<prep>
mābad,mābad<n>
atā,atā<cnj>
to-yen,to<cnj><3pl>
yeso,yeso<nprop>
dod,dod<n>
at,at<cnj>
nān,nān<n>
taram,tar<dem><d3>
wi,wi<dem>
vūd,vū<v><pst>
idê,idê<cnj>
ar,ar<pro>
čīz,čīz<pro>
qonūn,qonūn<n>
ca,ca<cnj>
lůvd,lův<v><prs><3sg>
bar,bar<prep>
wi,wi<dem>
kinen,kin<v><prs><3pl>
šimůn,šimůn<nprop>
zox̌t-i,zox̌<v><pst><3sg>
xu,xu<cnj>
mi,mi<prep>
δust,δust<n>
wi,wi<dem>
xu,xu<cnj>
xuδoy-ard-i,xuδoy<n><lat><3sg>
šukrat,šukrat<n>
čūd,čū<v><pst>
šič-ta,šič<prt><irr>
tu,tu<pers>
xu,xu<pro>
bandā,bandā<n>
osoyax̌-aθ,osoyax̌<n><adv>
lāk-i,lāk<v><prs><2sg>
e,e<prt>
parwardigor,parwardigor<n>
důnd,důnd<pro>
aven,aven<post>
idê,idê<cnj>
tu-t,tu<pers><2sg>
xu,xu<pro>
wādā,wādā<n>
yiǰro,yiǰro<n>
čūd,čū<v><pst>
xu,xu<pro>
cemaθ-um,cem<n><adv><1sg>
wi,wi<dem>
wīnt,wīn<v><pst>
idê,idê<cnj>
tu-t,tu<pro><2sg>
wi,wi<dem>
naǰotδāδīǰ,naǰot<n><give><agn>
pirokêθ,piroki<n><adv>
fukaθ,fukaθ<pro>
mardumen-ard,mardum<n><pl><lat>
ca,ca<cnj>
lůvǰ,lův<v><pf>
nūr-um,nūr<n><1sg>
wīnt,wīn<v><pst>
idê,idê<cnj>
yu-ta,yu<dem><irr>
bexuδoyen,be<n><god><pl>
cem,cem<n>
yet,yet<n>
kix̌t,kix̌<v><prs><3sg>
atā,atā<cnj>
tu,tu<pers>
yisroyīl,yisroyīl<nprop>
xalq,xalq<n>
ǰalol,ǰalol<n>
ta,ta<prt>
sůd,sů<v><prs><3sg>
atā,atā<cnj>
wi,wi<dem>
kūdak,kūdak<n>
dod,dod<n>
at,at<cnj>
nān-en,nān<n><3pl>
ayrat,ayrat<n>
qati,qati<post>
niɣux̌t,niɣux̌<v><pst>
idê,idê<cnj>
šimůn,šimůn<nprop>
dar borayi,dar borayi<prep>
yeso,yeso<nprop>
čīz,čīz<n>
lůvd,lův<v><prs><3sg>
šimůn,šimůn<nprop>
wev-ard-i,wev<dem><lat><3sg>
barakatbāx̌,barakatbāx̌<n>
čūd,čū<v><pst>
atā,atā<cnj>
wi,wi<dem>
nān-ard,nān<n><lat>
maryam-ard-i,maryam<nprop><lat><3sg>
lůd,lů<v><pst>
yida,yida<dem>
yed-and,yed<dem><loc>
yik-u,yik<dem><d3><m><sg>
x̌ovǰ,x̌ov<v><pf><m>
idê,idê<cnj>
as dasti,as dasti<prep>
di-ta,di<dem><irr>
yisroyīl-and,yisroyīl<nprop><loc>
lap,lap<prt>
odamen,odam<n><pl>
wox̌en,wox̌<v><prs><3pl>
at,at<cnj>
lap-ta,lap<prt><irr>
andiӡen,andiӡ<v><prs><3pl>
atā,atā<cnj>
tu,tu<pers>
ǰůn-ta,ǰůn<n><irr>
šamšer,šamšer<n>
δubāx̌,δu<n><part>
kix̌t,kix̌<v><prs><3sg>
yid-ta,yid<dem><irr>
xuδoy,xuδoy<n>
nix̌ůnā,nix̌ůnā<n>
sůd,sů<v><prs><3sg>
xu,xu<cnj>
bar,bar<prep>
ziddi,zidd<n><ez>
di-ta,di<dem><irr>
lap,lap<prt>
odamen,odam<n><pl>
andiӡen,andiӡ<v><prs><3pl>
xu,xu<cnj>
xu,xu<pro>
darūnaki,darūn<n><dim><adj>
fikriyen,fikri<n><pl>
ta,ta<prt>
ox̌kor,ox̌kor<n>
kinen,kin<v><prs><3pl>
atā,atā<cnj>
yam-and,yam<dem><loc>
nabiya,nabiya<n>
ānnā,ānnā<nprop>
fanuyīl,fanuyīl<nprop>
rizīn,rizīn<n>
as,as<prep>
ašer,ašer<nprop>
awlod,awlod<n>
vad,va<v><pst>
yā,yā<dem>
lap,lap<prt>
pīr,pīr<n>
vad,va<v><pst>
bād,bād<n>
as,as<prep>
čor-čīd,čor<n><do><inf>
wūvd,wūvd<num>
sol-i,sol<n><3sg>
xu,xu<pro>
čor,čor<n>
qati,qati<post>
zindagi,zindagi<n>
čūd,čū<v><pst>
xu,xu<cnj>
bewā-θ,bewā<n><adv>
reδǰ,reδ<v><pf>
xu,xu<cnj>
yima,yima<dem>
aštod-u,aštod<num><coord3>
čor,čor<num>
sol,sol<n>
sic,si<v><pf><f/pl>
yā,yā<dem>
ačaθ,ačaθ<prt>
as,as<prep>
mābad-and,mābad<n><loc>
nax̌tīc,nax̌tī<v><pf><f/pl>
x̌āb,х̌āb<n>
to,to<prep>
meθ-i,meθ<n><3sg>
xuδoy-ard,xuδoy<n><lat>
yůllo,yůllo<n>
čūd,čū<v><pst>
at,at<cnj>
parezi,parez<n><3sg>
anǰūvd,anǰūv<v><pst>
yik,yik<prt>
di,di<dem>
waxt-and,waxt<n><loc>
yā,yā<dem>
mis,mis<prt>
tar,tar<prep>
wev,wev<dem>
xez,xez<post>
yat,ya<v><pst>
xu,xu<cnj>
xuδoy-i,xuδoy<n><3sg>
sitowax̌,sitowax̌<n>
čūd,čū<v><pst>
atā,atā<cnj>
ar,ar<pro>
čāy,čāy<pro>
yerusalīm,yerusalīm<nprop>
ozodi,ozodi<n>
muntazir,muntazir<n>
ca,ca<cnj>
vud,vu<v><pst>
yā,yā<dem>
wev-ard-i,wev<dem><lat><3sg>
dar borayi,dar borayi<prep>
kūdak,kūdak<n>
naqli,naqli<n>
čūd,čū<v><pst>
fuk,fuk<pro>
čīzaθ-en,čīz<pro><adv><3pl>
as rūyi,as rūyi<prep>
xudowand,xudowand<n>
qonūn,qonūn<n>
yiǰro,yiǰro<n>
čūd,čū<v><pst>
xu,xu<cnj>
gāx̌t-en,gāx̌t<n><3pl>
ču,čū<v>
pi,pi<prep>
ǰalīl,ǰalīl<nprop>
pi,pi<prep>
xu,xu<pro>
x̌ār,x̌ār<n>
nosirā,nosirā<nprop>
kūdak,kūdak<n>
qād-i,qād<n><3sg>
čūd,čū<v><pst>
at,at<cnj>
bačamard,bačamard<n>
sut,su<v><pst>
aqlidor,aqlidor<n>
sut,su<v><pst>
atā,atā<cnj>
xuδoy,xuδoy<n>
fayz,fayz<n>
at,at<cnj>
barakat,barakat<n>
wi-nd,wi<dem><loc>
vud,vu<v><pst>
ar,ar<pro>
sol-en,sol<n><3pl>
yeso,yeso<nprop>
dod,dod<n>
at,at<cnj>
nān,nān<n>
pi,pi<prep>
yerusalīm,yerusalīm<nprop>
ar,ar<prep>
fisayům,fisayům<n>
sat,sa<v><pst>
yu,yu<dem>
duwozdasolā,duwozda<n><year><hb>
sut,su<v><pst>
atā,atā<cnj>
wāδ-en,wāδ<dem><3pl>
arwaxtā,ar<n><time><pl>
ǰinow,ǰinow<post>
ar,ar<prep>
ayům,ayům<n>
sat,sa<v><pst>
bād,bād<n>
as,as<prep>
ayům-en,ayům<n><3pl>
wāδ,wāδ<dem>
pi,pi<prep>
čīd,čīd<n>
rawůn,rawůn<n>
sat,sa<v><pst>
atā,atā<cnj>
yu,yu<dem>
ɣiδā,ɣiδā<n>
yeso,yeso<nprop>
yerusalīm-and,yerusalīm<nprop><loc>
red,re<v><pst>
atā,atā<cnj>
wi,wi<dem>
dod,dod<n>
at,at<cnj>
nān-en,nān<n><3pl>
di,di<dem>
wizent,wizen<v><pst>
xayol-en,xayol<n><3pl>
čūd,čū<v><pst>
idê,idê<cnj>
yu,yu<dem>
wev,wev<dem>
xu,xu<pro>
amrogůn,amro<n><pl>
darūn,darūn<n>
wāδ-en,wāδ<dem><3pl>
yi,yi<num>
meθ,meθ<n>
půnd,půnd<n>
tay,tay<n>
čūd,čū<v><pst>
xu,xu<cnj>
tām-en,tām<cnj><3pl>
wi,wi<dem>
xex̌ at tabor,xex̌<n><coord2><relatives>
at,at<cnj>
baladen,balad<n><3pl>
darūn,darūn<n>
daraw,daraw<prt>
x̌ikīd,x̌ikī<n><inf>
sat,sa<v><pst>
cůnden,cůnd<pro><3pl>
x̌ikūd,x̌ikū<v><pst>
wi-yen,wi<dem><3pl>
na,na<prt>
virūd,virū<v><pst>
xu,xu<cnj>
gax̌t-en,gax̌t<n><pl>
ču,čū<v>
pi,pi<prep>
yerusalīm,yerusalīm<nprop>
xu,xu<cnj>
yamard-en,yam<dem><lat><3pl>
wi,wi<dem>
daraw,daraw<prt>
x̌ikīd,x̌ikī<n><inf>
sat,sa<v><pst>
ba,ba<prep>
yi,yi<prt>
azoben,azob<n><3pl>
bād,bād<prep>
as,as<prep>
ara,ara<num>
meθ,meθ<n>
wi,wi<dem>
mābad-and,mābad<n><loc>
virūd,virū<v><pst>
yu,yu<dem>
oxůnen,oxůn<n><pl>
darūn,darūn<post>
nūsč,nūs<v><pf><m>
atā,atā<cnj>
niɣůɣ̌d,niɣůɣ̌<v><prs><3sg>
wev-at,wev<dem><coord2>
pex̌st,pêx̌s<v><prs><3sg>
ar,ar<pro>
čāy,čāy<pro>
wi-yi,wi<dem><3sg>
ca,ca<cnj>
niɣux̌t,niɣux̌<v><pst>
fukaθ-en,fukaθ<pro><3pl>
wi,wi<dem>
aql-at,aql<n><coord2>
ǰiwoben,ǰiwob<n><pl>
qati,qati<post>
ayrůn,ayrůn<n>
sat,sa<v><pst>
wi,wi<dem>
dod,dod<n>
at,at<cnj>
nān-en,nān<n><3pl>
wi,wi<dem>
wīnt,wīn<v><pst>
xu,xu<cnj>
ayrůn-en,ayrůn<n><3pl>
sat,sa<v><pst>
wi,wi<dem>
nān,nān<n>
wi-rd-i,wi<dem><lat><3sg>
lůd,lů<v><pst>
e,e<prt>
pucik,puc<n><dim>
tu-t,tu<pers><2sg>
čīz-ard,čīz<pro><lat>
māš,māš<pers>
di,di<dem>
ǰīnow,ǰīnow<post>
čūd,čū<v><pst>
tu,tu<pers>
čis,čis<v>
tu,tu<pers>
dod,dod<n>
at,at<cnj>
wuz-ām,wuz<pers><1pl>
to,to<prep>
tu,tu<pers>
virêdow-ard,virêd<n><inf><purp><lat>
ɣam,ɣam<n>
at,at<cnj>
ɣussāndi,ɣussā<n><loc>
vad,va<v><pst>
tame-t,tam<pers><2pl>
čīz-ard,čīzard<pro>
mu,mu<pers>
x̌ikūd,x̌ikū<v><pst>
yu,yu<dem>
ǰiwob-i,ǰiwob<n><3sg>
δod,δo<v><pst>
tame-t,tam<pers><2pl>
wizent,wizen<v><pst>
nā,nā<prt>
yidê,yidê<cnj>
wuz,wuz<pers>
boyad,boyad<v>
xu,xu<pro>
dod,dod<n>
čīd-and,čīd<n><loc>
vīm,vī<v><prs><1sg>
ammo,ammo<cnj>
wāδ-en,wāδ<dem><3pl>
wi,wi<dem>
gāp,gāp<n>
fāmt,fām<v><pst>
yeso,yeso<nprop>
wev,wev<dem>
qati,qati<post>
sut,su<v><pst>
yu,yu<dem>
pi,pi<prep>
nosirā,nosirā<nprop>
gax̌t-i,gax̌t<n><3sg>
čūd,čū<v><pst>
xu,xu<cnj>
ačaθ,ačaθ<n>
as,as<prep>
wev,wev<dem>
gāp,gāp<n>
nax̌tūyd,nax̌tūy<v><pst>
atā,atā<cnj>
wi,wi<dem>
nān,nān<n>
yik,yik<prt>
di-yi,di<dem><3sg>
fukaθ,fukaθ<pro>
xu,xu<pro>
ba,ba<prep>
yoδ,yoδ<n>
anǰūvd,anǰūv<v><pst>
yeso,yeso<nprop>
ɣullā,ɣullā<n>
sut,su<v><pst>
at,at<cnj>
wi,wi<dem>
sol,sol<n>
barobar,barobar<n>
wi,wi<dem>
farosat,farosat<n>
at,at<cnj>
žīwǰgi,žīwǰ<n><subst>
as,as<prep>
tarafi,taraf<n><ez>
xuδoy,xuδoy<n>
at,at<cnj>
mardum,mardum<n>
purrā,purrā<n>
sut,su<v><pst>
