wordform,tagged
yu,yu<dem><d3><m><sg>
ǰām,ǰām<n>
kix̌tat,kix̌<v>><prs><3sg>><coord2>
ar,ar<prep><down>
yi,yi<num>
sabad,sabad<n>
pur,pur<n>
kix̌t,kix̌<v>><prs><3sg>
noken,nok<n>><pl>
wam,wam<dem><d3><f><sg><o>
dākix̌t,dā<v>><do>><prs><3sg>
wirdatā,wi<dem><d3><m><sg><o>><lat>><advs>
ar,ar<prep><down>
duyum,du<num>><ord>
xu,xu<cnj><coord1>
ar,ar<prep><down>
seyum,se<num>><ord>
xu,xu<cnj><coord1>
dākix̌t,dā<v>><do>><prs><3sg>
wird,wi<dem><d3><m><sg><o>><lat>
bād,bād<n>
xubaθ,xubaθ<pro><self>
sifīnt,sifīn<v>><prs><3sg>
aro,aro<prt><adr>
velasipedti,velasiped<n>><sup>
xu,xu<cnj><coord1>
bād,bād<n>
tīzd,tīz<v>><prs><3sg>
pis,pis<prep><goal>
půndaθ,půnd<n>><adv>
yu,yu<dem><d3><m><sg>
ɣiδabucak,ɣiδa<n>><child><m>><dim>
mis,mis<prt><add2>
vīdimo,vīdimo<n>
wi,wi<dem><d3><m><sg><o>
dāmti,dam<dem><d2><f><sg><o>><sup>
tīzdo,tīz<v>><prs><3sg>><q>
nay,nay<prt>
aro,aro<prt><adr>
ɣal,ɣal<prt>
bašānd,bašānd<n>
mālum,mālum<n>
nisto,nist<v><neg>><q>
yu,yu<dem><d3><m><sg>
yast,yast<v>
uzum,uz<pers><prn><1sg>><1sg>
bašānd,bašānd<n>
aro,aro<prt><adr>
čīz,čīz<n>
ara,ara<num>
ɣiδābucak,ɣiδā<n>><child><m>><dim>
δiyen,δi<v>><-prs><3pl>
pi,pi<prep><up>
windi,wi<dem><d3><m><sg><o>><loc>
pis,pis<prep><goal>
půndaθ,půnd<n>><adv>
bād,bād<n>
aro,aro<prt><adr>
čīz,čīz<n>
yu,yu<dem><d3><m><sg>
xu,xu<pro><refl>
tīdowandatā,tī<v>><inf>><purp>><loc>><advs>
xabar,xabar<n>
sůd,sů<v>><prs><3sg>
idi,idi<cnj><compl>
čīz,čīz<n>
wāδga,wāδ<dem><d3><pl>><add1>
mis,mis<prt><add2>
wi,wi<dem><d3><m><sg><o>
dāmti,dām<dem><d2><f><sg><o>><sup>
as,as<prep><el>
wef,wef<dem><d3><pl><o>
sabadenand…,sabad<n>><pl>><loc>
aro,aro<prt><adr>
yi,yi<num>
důna,důna<n>
nist,nist<v><neg>
yu,yu<dem><d3><m><sg>
bād,bād<n>
sůd,sů<v>><prs><3sg>
wef,wef<dem><d3><pl><o>
dāmti,dām<dem><d2><f><sg><o>><sup>
tar,tar<prep><eq>
iga,i<pro><indef>><add1>
ǰoy,ǰoy<n>
idi,idi<cnj><compl>
wint,win<v>><prs><3sg>
idi,idi<cnj><compl>
aro,aro<prt><adr>
čīz,čīz<n>
wāδ,wāδ<dem><d3><pl>
xurd,xurd<prt>
xu,xu<pro><refl>
koren,kor<n>><pl>
qatiyat,qati<post><com>><coord2>
xu,xu<pro><refl>
bozi,bozi<n>
qatiyatā,qati<post><com>><advs>
yā,yā<dem><ds><f><sg>
sabad,sabad<n>
ačaθ,ačaθ<prt>
mālum,mālum<n>
yā,yā<dem><ds><f><sg>
sat,sa<v>><pst>
sawol,sawol<n>
tund,tu<pers><prn><2sg>><loc>
yasto?,yast<v>><q>
