wordform,tagged
gināgor,gināgor<n>
odam,odam<n>
oxir,oxir<prt>
šimůn,šimůn<nprop>
at,at<cnj>
wi,wi<dem>
amrogůn,amro<n><pl>
yoqūb,yoqūb<nprop>
yāyo,yāyo<nprop>
zebeday,zebeday<nprop>
pacen,pac<n><3pl>
šimůn,šimůn<nprop>
rafīqen,rafīq<n><3pl>
fukaθ-en,fukaθ<pro><3pl>
as,as<prep>
di,di<dem>
ǰinow,ǰinow<n>
moyi-anǰīvd,moyi<n><keep><inf>
osepi,osepi<n>
sat,sa<v><pst>
atā,atā<cnj>
yeso,yeso<nprop>
šimůn-ard-i,šimůn<nprop><lat><3sg>
lůd,lů<v><pst>
x̌oǰ,x̌oǰ<n>
δêr,δêr<v>
as,as<prep>
nur-and-ta,nur<n><loc><irr>
tu,tu<pers>
moyi,moyi<n>
nay,nay<prt>
atā,atā<cnj>
odamen,odam<n><pl>
anǰāvi,anǰāv<v><prs><2sg>
xu,xu<cnj>
kax̌tīnen-en,kax̌tīn<n><pl><3pl>
tar,tar<prep>
zīmbā,zīmbā<n>
ziwost,ziwos<v><pst>
xu,xu<cnj>
fuk,fuk<pro>
čīzaθ-en,čīz<pro><int><3pl>
yamand,yam<dem><loc>
lāk,lāk<v>
čūd,čū<v><pst>
xu,xu<cnj>
yeso,yeso<nprop>
dām-ti-yen,dām<n><sup><3pl>
toyd,toy<v><pst>
