wordform,tagged
yůdard,yůd<dem><d1>><lat>
as,as<prep><el>
maɣ̌ӡůnǰgi,maɣ̌ʒůnǰ<n>><subst>
marum,mar<v>><prs><1sg>
azůdand,az<dem><el>><d1>><loc>
tīm,tī<v>><prs><1sg>
tar,tar<prep><eq>
xu,xu<pro><refl>
dod,dod<n>
xez,xez<post><apud>
gax̌t,gax̌t<n>
kinum,kin<v>><prs><1sg>
xu,xu<cnj><coord1>
wi-rd,wi<dem><d3><m><sg><o>><lat>
lům,lů<v>><prs><1sg>
a,a<prt><voc>
dod,dod<n>
wuz-um,wuz<pers><prn><1sg>><1sg>
xuδoy,xuδoy<n><god>
at,at<cnj><coord2>
tu,tu<pers><prn><2sg>
xez-and,xez<post><apud>><loc>
gināgor,gināgor<n>
wuz-um,wuz<pers><prn><1sg>><1sg>
ač-ga,ač<prt>><add1>
loyiqi,loyiq<n>><adj>
tu,tu<pers><prn><2sg>
puc,puc<n>
vidow,vid<v>><inf>><purp>
nist,nist<v><neg>
atā,atā<cnj><advs>
yik,yik<prt><emph>
dis,dis<pro>
yisob,yisob<n>
kin,kin<v>
idê,idê<cnj><compl>
wuz-um,wuz<pers><prn><1sg>><1sg>
mis,mis<prt><add2>
tu,tu<pers><prn><2sg>
xez-and,xez<post><apud>><loc>
yi,yi<pro><indef>
xizmatgor,xizmatgor<n>
bād,bād<prt>
daraw-aθ,daraw<n>><int>
yat,ya<v>><pst>
tar,tar<prep><eq>
xu,xu<pro><refl>
dod,dod<n>
xez,xez<post><apud>
yu,yu<dem><d3><m><sg>
ɣal,ɣal<prt>
δar-aθ,δar<n>><adv>
vud,vu<v><m>><pst>
atā,atā<cnj><advs>
wi,wi<dem><d3><m><sg><o>
dod-ard,dod<n>><lat>
as,as<prep><el>
wi,wi<dem><d3><m><sg><o>
rām,rām<n>
yat,ya<v>><pst>
wi,wi<dem><d3><m><sg><o>
dod,dod<n>
žêx̌t-žêx̌t,žêx̌<v>><inf>><inf>
sut,su<v><m>><pst>
xu,xu<cnj><coord1>
xu,xu<pro><refl>
puc-i,puc<n>><3sg>
kinor,kinor<n>
anǰūvd,anǰūv<v>><pst>
xu,xu<cnj><coord1>
daraw,daraw<prt><inc>
bāčīd,bā<v>><do>><inf>
sut,su<v><m>><pst>
atā,atā<cnj><advs>
wi,wi<dem><d3><m><sg><o>
puc,puc<n>
lůd-i,lů<v>><pst>><3sg>
a,a<prt><voc>
dod,dod<n>
wuz-um,wuz<dem><prn><1sg>><1sg>
xuδoy,xuδoy<n><god>
at,at<cnj><coord2>
tu,tu<pers><prn><2sg>
xez-and,xez<post><apud>><loc>
gināgor,gināgor<n>
wuz-um,wuz<pers><prn><1sg>><1sg>
ač-ga,ač<prt>><add1>
loyiqi,loyiq<n>><adj>
tu,tu<pers><prn><2sg>
puc,puc<n>
yisob,yisob<n>
sitow,si<v>><inf>><purp>
nist,nist<v><neg>
ammo,ammo<cnj>
wi,wi<dem><d3><m><sg><o>
dod,dod<n>
xizmatgoren-ard-i,xizmatgor<n>><pl>><lat>><3sg>
lůd,lů<v>><pst>
ǰāldi,ǰāl<n>><comp>
as,as<prep><el>
fukaθ,fukaθ<pro>
bīdi,bīdi<n>
pūx̌oken,pūx̌ok<n>><3pl>
vet,v<v>><prs><2pl>
xu,xu<cnj><coord1>
di-rd,di<dem><d2><m><sg><o>><lat>
piniӡet,piniʒ<v>><prs><2pl>
di,di<dem><d2><m><sg><o>
angix̌t-ard,angix̌t<post>><lat>
čillā,čillā<n>
weδet,weδ<v>><prs><2pl>
at,at<cnj><coord2>
mūzā,mūzā<n>
vet,v<v>><prs><2pl>
lāk,lāk<v>
pinīzd,pinīz<v>><prs><3sg>
as,as<prep><el>
fukaθ,fuk<pro>
pirvor,pirvor<n>
šīg,šīg<n>
vet,v<v>><prs><2pl>
xu,xu<cnj><coord1>
kaɣ̌et,kaɣ̌<v>><prs><2pl>
xārām,xār<v>><prs><1pl>
at,at<cnj><coord2>
xuši,xuši<n>
kinām,kin<v>><prs><1pl>
yida,yida<dem><d2><loc>
mu,mu<pers><prn><1sg><o>
puc,puc<n>
yid,yid<dem><d2><sg>
mūɣ̌ǰin,mūɣ̌<n>><pf><m>><ptcp1>
vud,vu<v><m>><pst>
xu,xu<cnj><coord1>
šič,šič<prt>
zindā,zindā<n>
sut,su<v><m>><pst>
yid,yid<dem><d2><sg>
bed,be<v>><pst>
xu,xu<cnj><coord1>
vo,vo<prt>
peδo,peδo<n>
δod,δo<v>><pst>
bād-en,bād<prt>><3pl>
wāδ,wāδ<dem><d3><pl>
ziyofat,ziyofat<n>
δod,δo<v>><pst>
atā,atā<cnj><advs>
xidīr,xidīr<n>
puc,puc<n>
di,di<dem><d2><m><sg><o>
waxt-and,waxt<n>><loc>
tar,tar<prep><eq>
zimcen,zimc<n>><pl>
vud,vu<v><m>><pst>
gax̌tčīd-and,gax̌t<n>><do>><inf>><loc>
nazdīk,nazdīk<n>
yat,ya<v>><pst>
xu,xu<cnj><coord1>
soz-i,soz<n>><3sg>
x̌ud,x̌u<v>><pst>
at,at<cnj><coord2>
raqosi-yi,raqosi<n>><3sg>
wīnt,wīn<v>><pst>
xu,xu<cnj><coord1>
as,as<prep><el>
yi,yi<pro><indef>
xizmatgor-i,xizmatgor<n>><3sg>
pex̌st,pêx̌s<v>><pst>
idê,idê<cnj><compl>
čīz,čīz<pro>
gāp,gāp<n>
suδǰ,suδ<v>><pf><m>
atā,atā<cnj><advs>
yu,yu<dem><d3><m><sg>
ǰiwob-i,ǰiwob<n>><3sg>
δod,δo<v>><pst>
tu,tu<pers><prn><2sg>
virod,virod<n>
yat,ya<v>><pst>
xu,xu<cnj><coord1>
tu,tu<pers><prn><2sg>
dod,dod<n>
pirvor,pirvor<n>
šīg-i,šīg<n>><3sg>
kux̌t,kux̌<v>><pst>
důnd-aven,důnd<pro>><cause>
idê,idê<cnj><compl>
tu,tu<pers><prn><2sg>
virod,virod<n>
zindā,zindā<n>
atā,atā<cnj><advs>
salůmat-aθ,salůmat<n>><int>
yat,ya<v>><pst>
wi,wi<dem><d3><m><sg><o>
xidīr,xidīr<n>
virod-and,virod<n>><loc>
wi,wi<dem><d3><m><sg><o>
qār,qār<n>
yik,yik<prt><emph>
dis,dis<pro>
sifīd,sifī<v>><pst>
idê,idê<cnj><compl>
tar,tar<prep><eq>
čīd,čīd<n>
dedow,de<v>><inf>><purp>
wi-rd,wi<dem><d3><m><sg><o>><lat>
forti,for<v>><pst>><3sg>
bād,bād<prt>
wi,wi<dem><d3><m><sg><o>
dod,dod<n>
nax̌tūyd,nax̌tūy<v><m>><pst>
xu,xu<cnj><coord1>
yůlloyi,yůllo<n>><3sg>
pi,pi<prep><up>
wi,wi<dem><d3><m><sg><o>
čūd,čū<v>><pst>
ammo,ammo<cnj>
yu,yu<dem><d3><m><sg>
xu,xu<pro><refl>
dod-ard-i,dod<n>><lat>><3sg>
lůd,lů<v>><pst>
tu,tu<pers><prn><2sg>
čis,čis<v>
wuz,wuz<pers><prn><1sg>
soloyi,sol<taj>><pl>><ez>
sol-and,sol<taj>><loc>
ɣulům,ɣulům<n>
ǰinow,ǰinow<n>
tu-rd,tu<pers><prn><2sg>><lat>
mênat,mênat<n>
kinum,kin<v>><prs><1sg>
at,at<cnj><coord2>
as,as<prep><el>
tu,tu<pers><prn><2sg>
gāp-um,gāp<n>><1sg>
nax̌tūyǰ,nax̌tūy<v>><pf><m>
tu-t,tu<pers><prn><2sg>><2sg>
guǰbuc-aθ,guǰ<n>><child>><int>
mis,mis<prt><add2>
mu-rd,mu<pers><prn><1sg><o>><lat>
dākčūd,dāk<v>><do>><pst>
idê,idê<cnj><compl>
wuz,wuz<pers><prn><1sg>
xu,xu<cnj><coord1>
ox̌nogůn,ox̌no<n>><pl>
qati,qati<post><com>
xuši,xuši<n>
kinum,kin<v>><prs><1sg>
atā,atā<cnj><advs>
yid,yid<dem><d2><sg>
tu,tu<pers><prn><2sg>
puc,puc<n>
yidê,yidê<cnj><compl>
tu,tu<pers><prn><2sg>
mol,mol<n>
at,at<cnj><coord2>
ol-i,ol<n>><3sg>
ǰalaben-ard,ǰalab<n>><pl>><lat>
šebt,šeb<v>><pst>
at,at<cnj><coord2>
binêst-i,binês<v>><pst>><3sg>
xu,xu<cnj><coord1>
gax̌t,gax̌t<n>
čūd,čū<v>><pst>
atā,atā<cnj><advs>
tu-t,tu<pers><prn><2sg>><2sg>
di,di<dem><d2><m><sg><o>
ǰāt,ǰāt<post><cause>
pirvor-i,pirvor<n>><adj>
šīg,šīg<n>
kux̌t,kux̌<v>><pst>
atā,atā<cnj><advs>
wi,wi<dem><d3><m><sg><o>
dod,dod<n>
wi-rd-i,wi<dem><d3><m><sg><o>><lat>><3sg>
lůd,lů<v>><pst>
e,e<prt><voc>
pucik,puc<n>><dim>
tu-t,tu<pers><prn><2sg>><2sg>
amex̌ā,amex̌ā<n>
mu,mu<pers><prn><1sg><o>
qati,qati<post><com>
xu,xu<cnj><coord1>
ar,ar<pro>
čīz,čīz<pro>
mu-nd,mu<pers><prn><1sg><o>><loc>
ca,ca<cnj><subd>
yu,yu<dem><d3><m><sg>
tu-nd,tu<pers><prn><2sg>><loc>
māš,māš<pers><prn><1pl>
boyad,boyad<v>
xuši,xuši<n>
at,at<cnj><coord2>
xursandi,xursandi<n>
kinām,kin<v>><prs><1pl>
idê,idê<cnj><compl>
tu,tu<pers><prn><2sg>
virod,virod<n>
mūɣ̌ǰin,mūɣ̌<n>><pf><m>><ptcp1>
vud,vu<v><m>><pst>
at,at<cnj><coord2>
zindā,zindā<n>
sut,su<v><m>><pst>
bed,be<v>><pst>
xu,xu<cnj><coord1>
vo,vo<prt>
peδo,peδo<n>
δod,δo<v>><pst>
