wordform,tagged
dūst,dūst<n>
ǰinow,ǰinow<n>
wi-rd,wi<dem><lat>
garδā,garδā<n>
ca,ca<cnj>
na,na<prt>
dākix̌t,dāk<v><do><prs><3sg>
yu-ta,yu<dem><irr>
picemak,picemak<n>
ca,ca<cnj>
sůd,sů<v><prs><3sg>
yu,yu<dem>
wi,wi<dem>
dūst-ta,dūst<n><irr>
maǰbūr,maǰbūr<n>
sůd,sů<v><prs><3sg>
andīzd,andīz<v><prs><3sg>
xu,xu<cnj>
ar,ar<pro>
cůnd,cůnd<pro>
wi-rd,wi<dem><lat>
ca,ca<cnj>
fort,for<v><prs><3sg>
dākix̌t,dāk<v><do><prs><3sg>
atā,atā<cnj>
wuz,wuz<pers>
tama-rd,tama<pers><lat>
lům,lů<v><prs><1sg>
tilābet,tilāb<v><prs><2pl>
at,at<cnj>
tama-rd-ta,tama<pers><lat><irr>
dāken,dāk<v><prs><3pl>
x̌ikaret,x̌ikar<v><prs><2pl>
at,at<cnj>
viriyet-ta,viri<v><prs><2pl><irr>
pi,pi<prep>
divi,divi<n>
diyet,di<v><prs><2pl>
at,at<cnj>
tama-rd-ta,tama<pers><lat><irr>
yet,yet<n>
kinen,kin<v><prs><3pl>
ar,ar<pro>
čāy,čāy<pro>
ca,ca<cnj>
tilāpt,tilāp<v><prs><3sg>
zêzd-ta,zêz<v><prs><3sg><irr>
ar,ar<pro>
čāy,čāy<pro>
x̌ikīrt,x̌ikīr<v><prs><3sg>
vired-ta,vire<v><prs><3sg><irr>
atā,atā<cnj>
ar,ar<pro>
čāy,čāy<pro>
pi,pi<prep>
divi,divi<n>
ca,ca<cnj>
δīd,δī<v><pst>
wi-rd,wi<dem><lat>
ta,ta<prt>
yet,yet<n>
kinen,kin<v><prs><3pl>
