wordform,tagged
čīz,čīz<pro>
wam,wam<dem><d3><f><sg><o>
yi,yi<pro><indef>
sabadand,sabad<n>><loc>
nok,nok<n>
yā,yā<dem><d3><f><sg>
ga,ga<prt><add1>
dis,dis<pro>
ɣulāyaθat…,ɣulā<n>><int>><coord2>
yuyi,yu<dem><d3><m><sg>><3sg>
ribūδǰ,ribūδ<v>><pf>
ga,ga<prt><add1>
xu,xu<pro><refl>
čīzti,čīz<pro>><sup>
wam,wam<dem><d3><f><sg><o>
xu,xu<pro><refl>
velasipedti,velasiped<n>><sup>
wam,wam<dem><d3><f><sg><o>
aro,aro<prt><adr>
yā,yā<dem><d3><f><sg>
velasiped,velasiped<n>
disga…,dis<pro>><add1>
carāng,carāng<pro>
ɣulāyaθ,ɣulā<n>><int>
ata,ata<cnj><coord2>
savetski,savetski<n><soviet>
yā,yā<dem><d3><f><sg>
disga,dis<pro>><add1>
otaθ,ot<n>><adv>
bād,bād<n>
tūyd,tūy<v>><pst>
xurd,xu<pro><refl>><lat>
dālšiyata,dālši<rus>><advs>
yā,yā<dem><d3><f><sg>
sabad,sabad<n>
ɣulāyaθ,ɣulā<n>><int>
miti,mi<dem><d1><m><sg><o>><sup>
velusipedti,velusiped<n>><sup>
aro,aro<prt><adr>
pis,pis<prep><goal>
půndaθata,půnd<n>><adv>><coord2>
ɣacak,ɣac<n>><dim>
yat,ya<v>><pst>
aro,aro<prt><adr>
velusiped,velusiped<n>
qati,qati<post><com>
aro,aro<prt><adr>
tar,tar<prep><eq>
yakdigaraǰ,yakdigar<pro><recp>><dir>
ɣal,ɣal<prt>
tiyenata,ti<v>><prs><3pl>><coord2>
yā,yā<dem><d3><f><sg>
ɣacak,ɣac<n>><dim>
disga,dis<pro>><add1>
xāɣ̌,xāɣ̌<n>
wam,wam<dem><d3><f><sg><o>
ɣūnǰak,ɣūnǰ<n>><dim>
darozaθ,daroz<n>><int>
wīfčinaθ,wīf<v>><pf>><ptcp1>><int>
aro,aro<prt><adr>
yuyi,yu<dem><d3><m><sg>><3sg>
koroči,koroči<rus><hez>
wam,wam<dem><d3><f><sg><o>
wint,win<v>><pst>
yuyi,yu<dem><d3><m><sg>><3sg>
wam,wam<dem><d3><f><sg><o>
wīnt,wīn<v>><pst>
xu,xu<cnj><coord1>
xu,xu<pro><refl>
ux̌i,ux̌<n>><3sg>
binêst,binês<v>><pst>
fāmtato?,fām<v>><pst>><2sg>><q>
wāδen.,wāδ<dem><d3><pl>><3pl>
yāyi,yā<dem><d3><f><sg>><3sg>
tar,tar<prep><eq>
wiyaθ,wi<dem><d3><m><sg><o>><int>
čūx̌t,čūx̌<v>><pst>
yu,yu<dem><d3><m><sg>
wamti,wam<dem><d3><f><sg><o>><sup>
δod,δo<v>><pst>
xerā,xerā<n>
xu,xu<cnj><coord1>
yā,yā<dem><d1><f><sg>
naɣ̌ǰidata,naɣ̌ǰi<v>><pst>><advs>
yuyi,yu<dem><d3><m><sg>><3sg>
ǰukt,ǰuk<v>><pst>
pi,pi<prep><up>
žīrand,žīr<n>><loc>
xu,xu<cnj><coord1>
bād,bād<n>
wêx̌t,wêx̌<v>><pst>
yu,yu<dem><d3><m><sg>
wi,wi<dem><d3><m><sg><o>
kayůn,kayůn<n>
fukaθ,fukaθ<pro>
taxirm,taxirm<n>
sut,su<v><m>><pst>
bād,bād<n>
wind,wi<dem><d3><m><sg><o>><loc>
yamand,yam<dem><d1><sg>><loc>
arayga,aray<num>><add1>
wi,wi<dem><d3><m><sg><o>
doδga,doδ<n>><add1>
bačgalāyaken,bač<n>><pl>><dim>><pl>
bačamardaθen,bačamard<n>><int>><3pl>
wirīvӡin…,wirīv<v>><pf><f>><ptcp1>
aro,aro<prt><adr>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
čīsen;,čīs<v>><prs><3pl>
uz,uz<pers><prn><1sg>
lům,lů<v>><prs><1sg>
baɣer,baɣer<n>
wāδ,wāδ<dem><d3><pl>
taš,taš<prt><prosp>
baɣer…,baɣer<n>
andiӡen,andiӡ<v>><prs><3pl>
xu,xu<cnj><coord1>
disga,dis<pro>><add1>
taš,taš<prt><prosp>
wi,wi<dem><d3><m><sg><o>
diyen,di<dem>><prs><3pl>
ga,ga<prt><add1>
plus,plus<prt>
pi,pi<prep><up>
diyata…,di<dem><d2><m><sg><o / when>><coord2>
abor,abor<prt>
čurt,čurt<n>
δa,δa<v>
wāδen,wāδ<dem><d3><pl>><3pl>
disga,dis<pro>><add1>
bašānd,bašānd<n>
ɣiδā-yen,ɣiδā<n>><pl>
vad,va<v><f>><pst>
wiyen,wi<dem><d3><m><sg><o>><3pl>
sent,sen<v>><pst>
taxen,tax<n>><3pl>
wi,wi<dem><d3><m><sg><o>
δod,δo<v>><pst>
wi,wi<dem><d3><m><sg><o>
kayůnenen,kayůn<n>><pl>><3pl>
aro,aro<prt><adr>
ǰām,ǰām<n>
čūd,čū<v>><pst>
yi,yi<num>
wiyen,wi<dem><d3><m><sg><o>><3pl>
ga,ga<prt><add1>
ar,ar<prep><down>
xu,xu<pro><refl>
ǰebak,ǰebak<n>
mis,mis<prt><add2>
δodata,δo<v>><pst>><advs>
no,no<rus><advs>
ǰāmen,ǰām<n>><3pl>
čū,čū<v>
wi,wi<dem><d3><m><sg><o>
luqenen,luq<n>><pl>><3pl>
tax,tax<n>
δod,δo<v>><pst>
yu,yu<dem><d3><m><sg>
ca,ca<cnj><subd>
tūyd,tūy<v><m>><pst>
daži,daži<rus>
xu…,xu<pro><refl>
šelyapi,šelyapi<n>
yu,yu<dem><d3><m><sg>
ca,ca<cnj><subd>
wāδen,wāδ<dem><d3><pl>><3pl>
wam,wam<dem><d3><f><sg><o>
mis,mis<prt><add2>
obratni,obratni<rus>
vo,vo<prt>
wird,wi<dem><d3><m><sg><o>><lat>
yod,yo<v>><pst>
aro,aro<prt><adr>
bād,bād<n>
yu,yu<dem><d3><m><sg>
tūyd,tūy<v><m>><pst>
xu,xu<pro><refl>
půndtiyata,půnd<n>><sup>><advs>
māδ,māδ<dem><d1><pl>
wi,wi<dem><d3><m><sg><o>
bačgalāyen,bač<n>><pl>><3pl>
o…,o<prt><hez>
ca,ca<cnj><subd>
sent,sen<v>><pst>
wi,wi<dem><d3><m><sg><o>
wāδen,wāδ<dem><d3><pl>><3pl>
yat,ya<v>><pst>
tar…,tar<prep><eq>
obratno,obratno<rus>
tar,tar<prep><eq>
čīzaǰ…,čīz<pro>><dir>
půndvayen,půnd<n>><prol>><3pl>
vo,vo<prt>
yat,ya<v>><pst>
obratniyata,obratni<n>><advs>
yu,yu<dem><d3><m><sg>
čorik,čorik<n>
xāvd,xāv<v>><pst>
az,az<prep><el>
xu,xu<pro><refl>
daraxt,daraxt<n>
yu,yu<dem><d3><m><sg>
xāvd,xāv<v>><pst>
miti,mi<dem><d1><m><sg><o>><sup>
isob,isob<n>
kix̌t,kix̌<v>><prs><3sg>
wāδ,wāδ<dem><d3><pl>
wi,wi<dem><d3><m><sg><o>
čīzen…,čīz<pro>><3pl>
wāδ,wāδ<dem><d3><pl>
wi,wi<dem><d3><m><sg><o>
sabadenen,sabad<n>><pl>><3pl>
kām,kām<n>
xêr,xêr<prt>
yu,yu<dem><d3><m><sg>
fāmt,fām<v>><pst>
yuyi…,yu<dem><d3><m><sg>><3sg>
δu,δu<num>
sabad,sabad<n>
pur,pur<n>
čūyata,čū<v>><advs>
sabad,sabad<n>
xoli,xoli<n>
vad,va<v><f>><pst>
yāyi,yā<dem><d1><f><sg>><3sg>
sabad,sabad<n>
nist,nist<v><neg>
yu,yu<dem><d3><m><sg>
ɣal,ɣal<prt>
nīθt,nīθ<v>><prs><3sg>
čurt,čurt<n>
δīdat,δī<v>><prs><3sg>><coord2>
dāδ,dāδ<dem><d2><pl>
bačgala,bač<n>><pl>
naɣ̌ǰīden,naɣ̌ǰī<v>><pst>><3pl>
kayůn,kayůn<n>
xenat,x<v>><prs><3pl>><coord2>
ī…,ī<rus>
yedand,yed<dem><d2>><loc>
bād,bād<n>
tayor,tayor<n>
sut;,su<v><m>><pst>
prosto,prosto<rus>
uz,uz<pers><prn><1sg>
čurt,čurt<n>
δām,δā<v>><prs><1sg>
što,što<rus><subd>
aro,aro<prt><adr>
yu…,yu<dem><d3><m><sg>
yu,yu<dem><d3><m><sg>
ɣiδāyi,ɣiδā<n>><3sg>
čoriki,čorik<n>><3sg>
az,az<prep><el>
mev,mev<dem><d1><pl><o>
bačgala,bač<n>><pl>
wīnt,wīn<v>><pst>
što,što<rus><subd>
dāδen,dāδ<dem><d2><pl>><3pl>
wi,wi<dem><d3><m><sg><o>
kayůn,kayůn<n>
cift,cif<v>><pst>
at,at<cnj><coord2>
dāδen,dāδ<dem><d2><pl>><3pl>
yo,yo<cnj><or>
dāδen…,dāδ<dem><d2><pl>><3pl>
dāδ,dāδ<dem><d2><pl>
aro,aro<prt><adr>
yu…,yu<dem><d3><m><sg>
yu,yu<dem><d3><m><sg>
ɣiδā,ɣiδā<n>
vud,vu<v>><pst>
yuyi,yu<dem><d3><m><sg>><3sg>
bād,bād<n>
vo,vo<prt>
zox̌t,zox̌<v>><pst>
wev,wev<dem><d3><pl><o>
xu,xu<pro><refl>
kayůnen,kayůn<n>><pl>
xu,xu<cnj><coord1>
tūyd,tūy<v><m>><pst>
dālši,dālši<rus>
carāng,carāng<pro>
turd?,tu<pers><prn><2sg>><lat>
zūro?,zūr<n>><q>
yuyi,yu<dem><d3><m><sg>><3sg>
bād,bād<n>
ga,ga<prt><add1>
az,az<prep><el>
wev,wev<dem><d3><pl><o>
yu,yu<dem><d3><m><sg>
tamošo,tamošo<n>
kix̌tat,kix̌<v>><prs><3sg>><coord2>
wāδen,wāδ<dem><d3><pl>><3pl>
naɣ̌ǰid,naɣ̌ǰi<v>><pst>
toyden,toy<v><f>><pst>><3pl>
yuyi,yu<dem><d3><m><sg>><3sg>
pex̌cto,pex̌c<v>><pst>><q>
mis,mis<prt><add2>
wev,wev<dem><d3><pl><o>
nāy,nāy<prt>
yamand,yam<dem><d1><sg>><loc>
ačaθ,ačaθ<prt>
aro,aro<prt><adr>
yu,yu<dem><d3><m><sg>
miti,mi<dem><d1><m><sg><o>><sup>
qarorikaθ,qaror<n>><dim>><adv>
spakoynikaθ,spakoyn<n>><dim>><adv>
xāvd,xāv<v>><pst>
wi,wi<dem><d3><m><sg><o>
noken,nok<n>><pl>
nist,nist<v><neg>
točnei,točnei<rus>
wāδen,wāδ<dem><d3><pl>><3pl>
kayůn,kayůn<n>
vad,va<v><f>><pst>
wi,wi<dem><d3><m><sg><o>
kayůnen,kayůn<n>><pl>
nist…,nist<v><neg>
čūx̌ti,čūx̌<v>><pst>><3sg>
aro…,aro<prt><adr>
wev,wev<dem><d3><pl><o>
miδustti,mi<prep><cont2>><hand>><sup>
mis,mis<prt><add2>
wīnt,wīn<v>><pst>
dāži,dāži<rus>
tāmet,tām<pers><prn><2pl>><2pl>
az,az<prep><el>
kandi,kandi<pro>
di,di<dem><d2><m><sg><o>
zox̌t,zox̌<v>><pst>
ga,ga<prt><add1>
id,id<dem><d2><sg>
vad,va<v><f>><pst>
yamand,yam<dem><d1><sg>><loc>
bād,bād<n>
gāp,gāp<n>
δêdak,δê<v>><inf>><dim>
ga,ga<prt><add1>
mis,mis<prt><add2>
sof,sof<n>
qarorizor,qaror<n>><subst>><place>
wev,wev<dem><d3><pl><o>
poδ,poδ<n>
sadoyat,sado<n>><coord2>
wam,wam<dem><d3><f><sg><o>
velik,velik<n>
sadoyat…,sado<n>><coord2>
wev,wev<dem><d3><pl><o>
kayůnenat…,kayůn<n>><pl>><coord2>
wev,wev<dem><d3><pl><o>
wêx̌tow,wêx̌<v>><inf>><purp>
točnei,točnei<rus>
bād,bād<n>
ida,ida<dem><d2><loc>
disga,dis<pro>><add1>
sayuzīnā,sayuzīnā<n><soviet>
vīdeoyak,vīdeo<n>><dim>
yamand,yam<dem><d1><sg>><loc>
disga,dis<pro>><add1>
ot,ot<n>
wi,wi<dem><d3><m><sg><o>
ɣiδāyakand,ɣiδā<n>><dim>><loc>
ɣal,ɣal<prt>
miti,mi<dem><d1><m><sg><o>><sup>
fāmiyo,fām<v>><prs><2sg>><q>
sayuz,sayuz<n><soviet>
lāgerenando,lāger<n>><? pl>><loc>><q>
ar,ar<prep><down>
wev,wev<dem><d3><pl><o>
māko,māk<n>><q>
miti…,mi<dem><d1><m><sg><o>><sup>
čīzak,čīz<pro>><dim>
ca…,ca<cnj><subd>
čīz,čīz<pro>
yu,yu<dem><d3><m><sg>
vud…,vu<v>><pst>
gālstukako,gālstuk<n>><dim>><q>
ca,ca<cnj><subd>
ikaz,ik<prt><emph>><el>
wi,wi<dem><d3><m><sg><o>
yakaθ…,yak<num>><int>
xu,xu<cnj><coord1>
formayaken,forma<n>><dim>><pl>
ɣal,ɣal<prt>
yu,yu<dem><d3><m><sg>
karoči…,karoči<rus><hez>
yu,yu<dem><d3><m><sg>
disga,dis<pro>><add1>
ot,ot<n>
sayuzand,sayuz<n><soviet>><loc>
ca,ca<cnj><subd>
bād,bād<n>
ida,ida<dem><d2><loc>
disga…,dis<pro>><add1>
xuš,xuš<n>
turd,tu<pers><prn><2sg>><lat>
yattow?,yat<v>><inf>><purp>
murd,mu<pers><prn><1sg><o>><lat>
sar,sar<n>
xuš,xuš<n>
yat,ya<v>><pst>
wev,wev<dem><d3><pl><o>
bačgalayand,bač<n>><pl>><loc>
aro,aro<prt><adr>
wev,wev<dem><d3><pl><o>
raftor,raftor<n>
wāδen,wāδ<dem><d3><pl>><3pl>
disga,dis<pro>><add1>
xušruyaθ,xušruy<n>><adv>
yat,ya<v>><pst>
miti,mi<dem><d1><m><sg><o>><sup>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
xez,xez<post><apud>
xu,xu<cnj><coord1>
senti,sen<v>><pst>><3sg>
wi,wi<dem><d3><m><sg><o>
xu,xu<cnj><coord1>
yu,yu<dem><d3><m><sg>
ɣiδābucak,ɣiδā<n>><child>><dim>
disga,dis<pro>><add1>
tax,tax<n>
wi,wi<dem><d3><m><sg><o>
δīd,δī<v>><prs><3sg>
at,at<cnj><coord2>
yu,yu<dem><d3><m><sg>
disga,dis<pro>><add1>
setên,setên<n>
taxi,tax<n>><3sg>
wi,wi<dem><d3><m><sg><o>
δod,δo<v>><pst>
wi,wi<dem><d3><m><sg><o>
kayůnenen,kayůn<n>><pl>><3pl>
čūd,čū<v>><pst>
ǰām,ǰām<n>
ribūyden,ribūy<v>><pst>><3pl>
obratni,obratni<n>
wi,wi<dem><d3><m><sg><o>
velikti,velik<n>><sup>
xu…,xu<cnj><coord1>
yāyi,yā<dem><d1><f><sg>><3sg>
yāyi,yā<dem><d1><f><sg>><3sg>
prosta,prosta<rus>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
čux̌t,čux̌<v>><pst>
yuyi,yu<dem><d3><m><sg>><3sg>
xu,xu<pro><refl>
boδ,boδ<n>
δod,δo<v>><pst>
tar,tar<prep><eq>
wam,wam<dem><d3><f><sg><o>
čīz,čīz<pro>
daxli…,daxli<n>
wi,wi<dem><d3><m><sg><o>
ayb,ayb<n>
mis,mis<prt><add2>
nist,nist<v><neg>
yast,yast<v>
yā,yā<dem><d1><f><sg>
wird,wi<dem><d3><m><sg><o>><lat>
xuš,xuš<n>
yat,ya<v>><pst>
yā,yā<dem><d1><f><sg>
xāɣ̌ikaθ,xāɣ̌<n>><dim>><int>
vad,va<v><f>><pst>
bād,bād<n>
aro…,aro<prt><adr>
uz,uz<pers><prn><1sg>
bād,bād<n>
yu,yu<dem><d3><m><sg>
pis,pis<prep><goal>
wev…,wev<dem><d3><pl><o>
nu,nu<rus><hez>
yuyi,yu<dem><d3><m><sg>><3sg>
faktīčeski,faktīčeski<rus>
cift,cif<v>><pst>
wev,wev<dem><d3><pl><o>
murd,mu<pers><prn><1sg><o>><lat>
disga,dis<pro>><add1>
divest,dives<v>><prs><3sg>
yu,yu<dem><d3><m><sg>
bād,bād<n>
dis,dis<pro>
ga,ga<prt><add1>
di,di<dem><d2><m><sg><o>
yu,yu<dem><d3><m><sg>
čorik,čorik<n>
pi,pi<prep><up>
čīz…,čīz<pro>
pi,pi<prep><up>
daraxtata,daraxt<n>><coord2>
xāfct,xāfc<v>><prs><3sg>
kud,kud<n>
mu,mu<pers><prn><1sg><o>
δīdo,δī<v>><prs><3sg>><q>
ɣamaθ,ɣam<n>><int>
nist…,nist<v><neg>
dis,dis<pro>
spakoyniyaθ,spakoyni<rus>><int>
yā,yā<dem><d1><f><sg>
ga,ga<prt><add1>
dis,dis<pro>
ɣulā,ɣulā<n>
sabad,sabad<n>
yā,yā<dem><d1><f><sg>
sabad,sabad<n>
xušruyikaθ,xušruy<n>><dim>><adv>
toyd,toy<v><f>><pst>
wam,wam<dem><d3><f><sg><o>
ɣacen,ɣac<n>><? pl>
yuyi,yu<dem><d3><m><sg>><3sg>
pi,pi<prep><up>
žīrand,žīr<n>><loc>
ǰukt,ǰuk<v>><pst>
yu,yu<dem><d3><m><sg>
tūyd,tūy<v><m>><pst>
tūyd,tūy<v><m>><pst>
xu,xu<cnj><coord1>
pi,pi<prep><up>
žīrandi,žīr<n>><loc>
ǰukt,ǰuk<v>><pst>
nu,nu<rus><hez>
vobšem…,vobšem<rus>
yu…,yu<dem><d3><m><sg>
yu,yu<dem><d3><m><sg>
ɣiδā,ɣiδā<n>
xu,xu<pro><refl>
čurtti,čurt<n>><sup>
tūydata,tūy<v><m>><pst>><advs>
kayůnen,kayůn<n>><pl>
az,az<prep><el>
dast,dast<n>
δod…,δo<v>><pst>
no,no<rus><advs>
wind,wi<dem><d3><m><sg><o>><loc>
ɣulā,ɣulā<n>
daraxt,daraxt<n>
vo,vo<prt>
δůvd,δův<v>><prs><3sg>
