wordform,tagged
dākix̌t,dāk<v>><do>><prs><3sg>
yu-ta,yu<dem><d3><m><sg>><irr>
picemak,picemak<n>
ca,ca<cnj><subd>
sůd,sů<v>><prs><3sg>
yu,yu<dem><d3><m><sg>
wi,wi<dem><d3><m><sg><o>
dūst-ta,dūst<n>><irr>
maǰbūr,maǰbūr<n>
sůd,sů<v>><prs><3sg>
andīzd,andīz<v>><prs><3sg>
xu,xu<cnj><coord1>
ar,ar<pro>
cůnd,cůnd<pro>
wi-rd,wi<dem><d3><m><sg><o>><lat>
ca,ca<cnj><subd>
fort,for<v>><prs><3sg>
dākix̌t,dāk<v>><do>><prs><3sg>
atā,atā<cnj><advs>
wuz,wuz<pers><prn><1sg>
tama-rd,tama<pers><prn><2pl>><lat>
lům,lů<v>><prs><1sg>
tilābet,tilāb<v>><prs><2pl>
at,at<cnj><coord2>
tama-rd-ta,tama<pers><prn><2pl>><lat>><irr>
dāken,dāk<v>><prs><3pl>
x̌ikaret,x̌ikar<v>><prs><2pl>
at,at<cnj><coord2>
viriyet-ta,viri<v>><prs><2pl>><irr>
pi,pi<prep><up>
divi,divi<n>
diyet,di<v>><prs><2pl>
at,at<cnj><coord2>
tama-rd-ta,tama<pers><prn><2pl>><lat>><irr>
yet,yet<n>
kinen,kin<v>><prs><3pl>
ar,ar<pro>
čāy,čāy<pro>
ca,ca<cnj><subd>
tilāpt,tilāp<v>><prs><3sg>
zêzd-ta,zêz<v>><prs><3sg>><irr>
ar,ar<pro>
čāy,čāy<pro>
x̌ikīrt,x̌ikīr<v>><prs><3sg>
vired-ta,vire<v>><prs><3sg>><irr>
atā,atā<cnj><advs>
ar,ar<pro>
čāy,čāy<pro>
pi,pi<prep><up>
divi,divi<n>
ca,ca<cnj><subd>
δīd,δī<v>><pst>
wi-rd,wi<dem><d3><m><sg><o>><lat>
ta,ta<prt><irr>
yet,yet<n>
kinen,kin<v>><prs><3pl>
